read_accession_id,taxid,count
CP097095.1,2572923,1
CP097095.1,2867023,1
CP097095.1,443218,1
CP097095.1,324057,1
CP097095.1,1276,1
CP097095.1,1619308,1
CP097095.1,1961,1
CP097095.1,2819978,1
CP097095.1,3030830,1
CP097095.1,2486855,1
CP097095.1,1648030,1
CP097095.1,3073064,1
CP097095.1,47715,1
CP097095.1,37637,1
CP097095.1,2810516,1
CP097095.1,293,1
CP097095.1,3135260,1
CP097095.1,204,1
CP097095.1,1803177,1
CP097095.1,32008,1
CP097095.1,2975959,1
NZ_LT635457.1,1852377,34
NZ_CP033459.1,2133944,53
CAKAFU010000002.1,131567,1
CAKAFU010000002.1,703,1
CAKAFU010000002.1,820,1
CAKAFU010000002.1,2913614,1
CAKAFU010000002.1,2133944,1
CAKAFU010000002.1,390989,1
CAKAFU010000002.1,838,1
CAKAFU010000002.1,1224,1
NZ_CP032823.1,1032070,623
NZ_CP032823.1,2321111,3
NZ_CP032823.1,1032071,1
NZ_CP049272.1,199,9179
NZ_CP049272.1,360104,101
NZ_CP049272.1,194,7
NZ_CP049272.1,1031754,1
NZ_CP012544.1,204,26549
NZ_CP012544.1,2840180,1
NZ_CP012544.1,194,40
NZ_CP012544.1,522484,1
NZ_CP012544.1,199,2
NZ_CP012544.1,1660074,1
NZ_CP012544.1,827,1
NZ_CP012544.1,197,1
NZ_CP012544.1,1031754,1
NZ_CP022386.1,1017,2593
NZ_CP022386.1,1016,1
NZ_CP022384.1,327575,12042
NZ_CP022384.1,1016,204
NZ_CP022384.1,28188,3
NZ_CP022384.1,28189,6
NZ_CP022384.1,2545799,11
NZ_CP022384.1,2708117,2
NZ_CP022384.1,1848904,5
NZ_CP022384.1,45243,1
NZ_CP022384.1,1019,5
NZ_CP022384.1,200644,1
NZ_CP022384.1,1316593,1
NZ_CP022384.1,1017,1
NZ_CP022384.1,1316596,5
NZ_CP022384.1,976,1
NZ_CP022384.1,1018,1
NZ_CP022379.1,1019,118
NZ_CP022379.1,1016,1
NZ_CP028101.1,76857,4
NZ_CP028101.1,851,76
NZ_CP028101.1,190304,1
NZ_CP028101.1,525283,4
NZ_CP028101.1,1583098,1
NZ_CP028101.1,848,2
NZ_CP028101.1,76856,2
NZ_CP028101.1,155615,1
NZ_CP024703.1,2663009,136624
NZ_CP024703.1,848,1013
NZ_CP024703.1,851,136
NZ_CP024703.1,76859,220
NZ_CP024703.1,1307442,11
NZ_CP024703.1,285729,48
NZ_CP024703.1,76857,249
NZ_CP024703.1,1583098,50
NZ_CP024703.1,469616,12
NZ_CP024703.1,155615,11
NZ_CP024703.1,469607,3
NZ_CP024703.1,860,27
NZ_CP024703.1,203491,10
NZ_CP024703.1,525283,1
NZ_CP024703.1,1307443,4
NZ_CP024703.1,1307427,9
NZ_CP024703.1,2764326,2
NZ_CP024703.1,861,2
NZ_CP024703.1,1307444,1
NZ_CP024703.1,469618,1
NZ_CP024703.1,671211,1
NZ_CP024703.1,859,4
NZ_CP024703.1,469615,3
NZ_CP024703.1,2,1
NZ_CP024703.1,1307428,1
NZ_CP024703.1,393480,1
NZ_CP024703.1,457405,1
NZ_CP083637.1,1379,25
NZ_CP031243.1,726,1993
NZ_CP031243.1,724,25
NZ_CP031243.1,727,3
NZ_CP031243.1,712,1
NZ_CP031243.1,1224,2
NZ_CP031243.1,1407647,1
NZ_AP018768.1,727,312
NZ_AP018768.1,724,5
NZ_AP018768.1,1334187,1
NZ_CP038817.1,735,649
NZ_CP035368.2,729,75950
NZ_CP035368.2,862965,959
NZ_CP035368.2,724,246
NZ_CP035368.2,712,122
NZ_CP035368.2,888828,4
NZ_CP035368.2,714,1
NZ_CP035368.2,727,25
NZ_CP035368.2,1224,3
NZ_CP035368.2,75985,2
NZ_CP035368.2,272843,2
NZ_CP035368.2,712310,1
