accession_id,total_reads,genus,genus_taxid,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP031243.1,1695,Haemophilus,724,2396,1852143,2,7,Haemophilus haemolyticus,726,1608,1852852,1,87
NZ_AP018768.1,124,Haemophilus,724,2396,1852143,2,7,Haemophilus influenzae,727,117,1854406,18,7
NZ_CP035368.2,584,Haemophilus,724,2396,1852143,2,7,Haemophilus parainfluenzae,729,578,1853962,2,6
NZ_CP065999.1,36,Kingella,32257,36,1854512,0,0,Kingella denitrificans,502,36,1854512,0,0
NC_013203.1,126,Lancefieldella,2767353,126,1854422,0,0,Lancefieldella parvula,1382,126,1854422,0,0
NZ_AP019831.1,24209,Leptotrichia,32067,84217,1769869,73,389,Leptotrichia trevisanii,109328,23527,1829947,392,682
NZ_AP019829.2,15205,Leptotrichia,32067,84217,1769869,73,389,Leptotrichia wadei,157687,14494,1839010,333,711
NZ_CP101528.1,20,Micrococcus,1269,20,1854507,21,0,Micrococcus luteus,1270,17,1854523,5,3
NZ_CP014234.1,8912,Moraxella,475,8875,1845626,10,37,Moraxella osloensis,34062,8872,1845636,0,40
NZ_CP053939.1,1824,Neisseria,482,1881,1852642,4,21,Neisseria mucosa,488,1769,1852686,38,55
NZ_CP073114.1,78,Neisseria,482,1881,1852642,4,21,Neisseria subflava,28449,8,1854467,3,70
NZ_CP092048.1,160,Porphyromonas,836,156,1854366,22,4,Porphyromonas gingivalis,837,156,1854378,10,4
NC_019960.1,74,Prevotella,838,43641,1809631,786,490,Prevotella dentalis,52227,74,1854446,28,0
NZ_CP024696.1,2604,Prevotella,838,43641,1809631,786,490,Prevotella intermedia,28131,2484,1851765,179,120
NZ_CP072363.1,27220,Prevotella,838,43641,1809631,786,490,Prevotella jejuni,1177574,26384,1827294,34,836
AP018050.1,13985,Prevotella,838,43641,1809631,786,490,Prevotella melaninogenica,28132,13591,1840412,151,394
NZ_CP072390.1,168,Prevotella,838,43641,1809631,786,490,Prevotella scopos,589437,164,1854361,19,4
NZ_CP079822.1,28626,Rothia,32207,28632,1825657,245,14,Rothia mucilaginosa,43675,28602,1825765,157,24
NZ_CP079201.1,20,Rothia,32207,28632,1825657,245,14,Rothia dentocariosa,2047,20,1854474,54,0
NZ_CP102197.1,27038,Schaalia,2529408,59438,1782420,12616,74,Schaalia odontolytica,1660,26965,1816145,11365,73
NZ_CP060204.1,1833,Selenomonas,970,14148,1840392,8,0,Selenomonas timonae,2754044,1811,1852713,2,22
NZ_CP012071.1,12315,Selenomonas,970,14148,1840392,8,0,Selenomonas sp. oral taxon 478,712538,11367,1842233,0,948
NZ_LS483444.1,12,Streptococcus,1301,19932,1832502,2099,15,Streptococcus australis,113107,10,1854533,3,2
NC_015875.1,106,Streptococcus,1301,19932,1832502,2099,15,Streptococcus pseudopneumoniae,257758,90,1854440,2,16
NZ_CP009913.1,19688,Streptococcus,1301,19932,1832502,2099,15,Streptococcus salivarius,1304,16797,1834726,134,2891
NZ_CP079193.1,83,Streptococcus,1301,19932,1832502,2099,15,Streptococcus suis,1307,82,1854430,35,1
NZ_CP009227.1,3820,Treponema,157,38411,1810622,130,5385,Treponema sp. OMZ 838,1539298,1878,1850728,0,1942
NZ_CAKAHJ010000001.1,25481,Actinomyces,1654,23676,1765008,9,65855,uncultured Actinomyces sp.,249061,0,1829067,0,25481
NZ_CALGPY010000005.1,41332,Campylobacter,194,129535,1720372,25,4616,uncultured Campylobacter sp.,218934,0,1813216,0,41332
NZ_CABPWA010000001.1,2546,Peptostreptococcus,1257,40,1851939,63,2506,uncultured Peptostreptococcus sp.,169971,0,1852002,0,2546
NZ_CAKOJV010000001.1,70,Fusobacterium,848,16094,1838327,91,36,uncultured Fusobacterium sp.,159267,0,1854478,0,70
NZ_CAJTJS010000001.1,80,Prevotella,838,43641,1809631,786,490,uncultured Prevotella sp.,159272,0,1854468,0,80
NZ_CAMNMG010000001.1,58,Streptococcus,1301,19932,1832502,2099,15,uncultured Streptococcus sp.,83427,0,1854490,0,58
NZ_CALHUL010000006.1,39976,Treponema,157,38411,1810622,130,5385,uncultured Treponema sp.,162155,0,1814572,0,39976
NZ_CP020566.1,72328,Veillonella,29465,74262,1780204,14,68,Veillonella atypica,39777,71832,1782216,4,496
