accession_id,total_reads,genus,genus_taxid,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NC_015875.1,8883,Streptococcus,1301,122541,877147,3,309,Streptococcus pseudopneumoniae,257758,7523,991080,37,1360
NZ_CAKAHJ010000001.1,1371,Actinomyces,1654,34,998576,4,1386,uncultured Actinomyces sp.,249061,0,998629,0,1371
NZ_CALGPY010000005.1,1617,Campylobacter,194,73400,926477,0,123,uncultured Campylobacter sp.,218934,0,998383,0,1617
NZ_CP079193.1,36,Streptococcus,1301,122541,877147,3,309,Streptococcus suis,1307,35,999950,14,1
NZ_CP009227.1,26,Treponema,157,189,999785,2,24,Treponema sp. OMZ 838,1539298,16,999974,0,10
NZ_CAKOJV010000001.1,158,Fusobacterium,848,92314,907601,1,84,uncultured Fusobacterium sp.,159267,0,999842,0,158
NZ_CABPWA010000001.1,39,Peptostreptococcus,1257,0,999961,0,39,uncultured Peptostreptococcus sp.,169971,0,999961,0,39
NZ_UQJH01000001.1,62,Porphyromonas,836,443,999470,21,66,uncultured Porphyromonas sp.,159274,0,999938,0,62
NZ_CAJTJS010000001.1,227,Prevotella,838,16084,982874,486,556,uncultured Prevotella sp.,159272,0,999773,0,227
NZ_CAKAIK010000001.1,237,Rothia,32207,110832,889124,4,40,uncultured Rothia sp.,316088,0,999763,0,237
NZ_CAMNMG010000001.1,615,Streptococcus,1301,122541,877147,3,309,uncultured Streptococcus sp.,83427,0,999385,0,615
NZ_CALHUL010000006.1,187,Treponema,157,189,999785,2,24,uncultured Treponema sp.,162155,0,999813,0,187
NZ_CP020566.1,1193,Veillonella,29465,2922,997070,2,6,Veillonella atypica,39777,1187,998807,0,6
NZ_LR134375.1,1144,Veillonella,29465,2922,997070,2,6,Veillonella dispar,39778,1079,998856,0,65
NZ_AP022321.1,569,Veillonella,29465,2922,997070,2,6,Veillonella nakazawae,2682456,503,999429,2,66
NZ_CP019721.1,22,Veillonella,29465,2922,997070,2,6,Veillonella parvula,29466,22,999977,1,0
