"","species","unique_genus_with_pathogen_00","unique_genus_non_pathogen_03","unique_genus_non_pathogen_02","unique_genus_non_pathogen_01","unique_family_with_pathogen_04","unique_family_with_pathogen_03","unique_family_with_pathogen_02","unique_family_with_pathogen_01","unique_family_non_pathogen_04","unique_family_non_pathogen_03","unique_family_non_pathogen_02","unique_family_non_pathogen_01","unique_family_non_pathogen_00","throat_with_pathogen_04","throat_with_pathogen_03","throat_with_pathogen_02","throat_with_pathogen_01","throat_non_pathogen_04","throat_non_pathogen_03","throat_non_pathogen_02","throat_non_pathogen_01","SI041_2","SI041_1","SI041","SI037","SI035","SI034","SI032","SI030","SI029","SI023","SI021","SI019","SI018","SI010","SI008","SI007","SI006","SI005","SI004","SI003","SI002","SI001","CSI005","CSI004","CSI003","CSI002","CSI001"
"24","Eikenella corrodens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.8644770408163,99.7999555456768,100,NA,NA,NA,NA,NA,99.9037721324095,99.8942731277533,NA,NA,99.8834498834499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Streptococcus sobrinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.8864410629116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Tsukamurella pulmonis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.8883038136269,99.8684210526316,NA,NA,NA,99.8621504529342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Kytococcus sedentarius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.9268471104609,99.8465375023979,99.8124267291911,NA,NA,NA,99.8591167705229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Prescottella equi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.8931052912881,99.835481217439,NA,NA,99.867374005305,99.8403357511063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Burkholderia gladioli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.7863247863248,99.8751560549313,NA,NA,NA,NA,99.8577586206897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Pandoraea pulmonicola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.8533186651999,99.9010390895596,99.7295835586804,NA,99.857108835437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Dolosigranulum pigrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.8344370860927,99.8293224099676,NA,99.8230928546773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Clostridium tetani",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.8259860788863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Achromobacter denitrificans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.9263080324245,99.6770988574267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Aggregatibacter actinomycetemcomitans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.7871564096327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Corynebacterium pseudotuberculosis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.8146088246199,99.7300215982721,99.7359701801615,NA,NA,99.8410680228862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Bordetella hinzii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.900760833609,99.3408662900188,NA,NA,NA,99.872854418309,99.8373763382572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Rothia dentocariosa",99.4647122692725,NA,99.4707845957608,NA,NA,99.3791500664011,NA,99.4695481335953,NA,99.3778699451933,99.471110667598,NA,NA,99.4648409471418,99.3903750986158,NA,99.5299384443201,NA,99.4222436206066,NA,99.4292299349241,99.7942386831276,99.645599527466,99.8470613939262,NA,100,100,99.8444306160548,100,100,100,99.797562131197,99.7950358000473,NA,NA,100,100,100,98.7179487179487,100,100,100,100,100,99.3865030674847,99.7305764411028,100,100
"38","Campylobacter fetus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.6946456469252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Chromobacterium violaceum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.5777104562563,99.7222222222222,99.7638560911238,NA,99.6962135184984,NA,99.5724003887269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Capnocytophaga sputigena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.4635659813843,99.3852459016393,NA,NA,NA,NA,100,99.3421052631579,NA,99.6248660235799,NA,100,100,NA,99.4080245560184,100,NA,NA,NA,NA,100,99.1596638655462,100,100,NA,NA,100,NA,NA,99.4905849176749,100,98.3606557377049,NA
"41","Haemophilus pittmaniae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.6577686516085,99.5710059171598,99.6400049654488,NA,99.6996656655522,NA,99.6737800733995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Haemophilus parahaemolyticus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.7151898734177,99.7781721384206,99.7077650988032,NA,NA,NA,NA,NA,99.6842936069455,99.755615035494,99.7075195773186,99.7637928125527,99.7347103131366,NA,99.6937212863706,99.7442455242967,99.294532627866,99.756938885412,99.7392398073442,NA,99.7147147147147,99.766256596168,99.7540097620559,100,99.7617077929752,99.7648770178721,100,99.7593298103314,99.7795738427627,99.7973657548126,99.6591928251121,100,NA,99.7767071453713,96.875
