"","species","species_sensitivity","accession_id","sample_name","read_length","total_reads","sum_reads","taxon_abundance"
"322","Collinsella aerofaciens",98.9929972799352,"NZ_CP040348.1","throat_non_pathogen_04","150",17279,999953,1.72798122
"323","Peptoniphilus harei",94.3536404160475,"NZ_CP068103.1","throat_non_pathogen_04","150",4711,999953,0.47112214
"324","Macrococcoides canis",97.5826972010178,"NZ_CP073804.1","throat_non_pathogen_04","150",2358,999953,0.23581108
"325","Haemophilus sp. oral taxon 036",94.8896827064509,"NZ_CP027235.1","throat_non_pathogen_04","150",23795,999953,2.37961184
"326","Tannerella serpentiformis",99.9606505771249,"NZ_CP017038.2","throat_non_pathogen_04","150",7624,999953,0.76243583
"327","Tetragenococcus halophilus",98.8681380871534,"NZ_CP046246.1","throat_non_pathogen_04","150",28272,999953,2.82733288
"328","Gemella sanguinis",99.1720331186752,"NZ_CP046313.1","throat_non_pathogen_04","150",10870,999953,1.08705109
"329","Prevotella denticola",95.8957349829074,"NZ_CP072373.1","throat_non_pathogen_04","150",98288,999953,9.82926198
"330","Enterococcus mundtii",98.7793086777858,"NZ_CP029066.1","throat_non_pathogen_04","150",115836,999953,11.58414445
"331","Akkermansia muciniphila",97.7367576243981,"NZ_CP072042.1","throat_non_pathogen_04","150",6230,999953,0.62302928
"332","Sorangium cellulosum",14.9468417761101,"NZ_CP012672.1","throat_non_pathogen_04","150",1599,999953,0.15990752
"333","Leptotrichia hongkongensis",95.3650133263993,"NZ_AP019846.1","throat_non_pathogen_04","150",15383,999953,1.5383723
"334","Virgibacillus halodenitrificans",98.5266469708015,"NZ_CP126077.1","throat_non_pathogen_04","150",26063,999953,2.6064225
"335","Alistipes communis",97.458463563086,"NZ_AP019735.1","throat_non_pathogen_04","150",36474,999953,3.64757144
"336","Butyricimonas faecalis",88.3890175322527,"NZ_CP032819.1","throat_non_pathogen_04","150",3023,999953,0.30231421
"337","Chryseobacterium indologenes",98.1688708036623,"NZ_CP120209.1","throat_non_pathogen_04","300",1966,996532,0.19728418
"338","Ruminococcus bovis",99.8585972850679,"NZ_CP039381.1","throat_non_pathogen_04","300",7072,996532,0.7096611
"339","Burkholderia cenocepacia",74.2512293249888,"NZ_CP019668.1","throat_non_pathogen_04","300",4474,996532,0.44895698
"340","Paenibacillus polymyxa",97.845309482671,"NZ_CP097775.1","throat_non_pathogen_04","300",9839,996532,0.98732404
"341","Selenomonas sp. oral taxon 920",99.8089869319108,"NZ_CP017042.1","throat_non_pathogen_04","300",42929,996532,4.30783959
"342","Megamonas funiformis",99.9248120300752,"NZ_CP084018.1","throat_non_pathogen_04","300",1330,996532,0.13346285
"343","Mobiluncus curtisii",99.190393887019,"NZ_CP068112.1","throat_non_pathogen_04","300",32979,996532,3.30937692
"344","Candidatus Nanosynbacter featherlites",99.7472407110961,"NZ_CP040004.1","throat_non_pathogen_04","300",11869,996532,1.19103049
"345","Vansinderenvirus 5093",79.6168811733014,"NC_012753.1","throat_non_pathogen_04","300",6682,996532,0.67052538
"346","Dermabacter vaginalis",97.7900552486188,"NZ_CP012117.1","throat_non_pathogen_04","300",2534,996532,0.25428185
"347","Mogibacterium diversum",99.8571467816818,"NZ_CP027228.1","throat_non_pathogen_04","300",36401,996532,3.6527678
"348","Streptomyces venezuelae",98.5431973650874,"NZ_CP029197.1","throat_non_pathogen_04","300",7894,996532,0.79214717
"349","Jonesia denitrificans",99.9684314963471,"NZ_CP077403.1","throat_non_pathogen_04","300",22174,996532,2.2251167
"350","Sinsheimervirus phiX174",0,"NC_001422.1","throat_non_pathogen_04","300",9383,996532,0.94156535
"351","Duncaniella sp. B8",2.86520512263946,"NZ_CP040121.1","throat_non_pathogen_04","300",4607,996532,0.46230327
"352","Tequatrovirus T4",78.4462207264058,"NC_000866.4","throat_non_pathogen_04","300",14262,996532,1.43116327
"353","Phocaeicola dorei",86.5386480457764,"NZ_CP072246.1","throat_non_pathogen_04","300",10311,996532,1.0346883
"354","Sporosarcina ureae",99.8179887759745,"NZ_CP015348.1","throat_non_pathogen_04","300",6593,996532,0.66159441
"355","Helicobacter pylori",99.9792401909903,"NZ_CP071986.1","throat_non_pathogen_04","300",14451,996532,1.45012905
"356","Corynebacterium matruchotii",100,"NZ_CP050134.2","throat_non_pathogen_04","300",2535,996532,0.2543822
"357","Olsenella sp. oral taxon 807",100,"NZ_CP012069.2","throat_non_pathogen_04","300",18369,996532,1.84329254
"358","Streptococcus phage PH10",100,"NC_012756.1","throat_non_pathogen_04","300",4002,996532,0.40159272
"359","Paraclostridium sordellii",99.6916386637675,"NZ_CP014150.1","throat_non_pathogen_04","300",25295,996532,2.53830283
"360","Brevibacterium linens",97.5258691682481,"NZ_CP026734.1","throat_non_pathogen_04","300",27929,996532,2.80261948
"361","Veillonella atypica",99.7368421052632,"NZ_CP020566.1","throat_non_pathogen_04","300",1900,996532,0.19066121
"362","Brochothrix thermosphacta",100,"NZ_CP016839.1","throat_non_pathogen_04","300",3066,996532,0.30766699
"363","Pseudomonas putida",40.1348271933156,"NZ_CP047311.1","throat_non_pathogen_04","300",10532,996532,1.05686521
"364","Leuconostoc mesenteroides",98.8616371727207,"NZ_CP065995.1","throat_non_pathogen_04","300",9663,996532,0.96966279
"365","Rhodopseudomonas palustris",99.963530269876,"NZ_CP116810.1","throat_non_pathogen_04","300",24678,996532,2.47638811
"366","Propionibacterium acidifaciens",99.9813101579292,"NZ_CP033719.1","throat_non_pathogen_04","300",10701,996532,1.07382402
"367","Fusobacterium ulcerans",98.7605485232068,"NZ_CP028105.1","throat_non_pathogen_04","300",3792,996532,0.38051964
"368","Alteromonas australica",92.5488834895291,"NZ_CP008849.1","throat_non_pathogen_04","300",17286,996532,1.73461565
"369","Rothia aeria",100,"NZ_CP068102.1","throat_non_pathogen_04","300",4441,996532,0.4456455
"370","Jeotgalibaca ciconiae",99.1119005328597,"NZ_CP034465.1","throat_non_pathogen_04","300",9571,996532,0.96043077
"371","Sporomusa termitida",100,"NZ_CP036259.1","throat_non_pathogen_04","300",2007,996532,0.20139845
"372","Georgenia yuyongxinii",99.9901322281429,"NZ_CP040915.1","throat_non_pathogen_04","300",10134,996532,1.0169267
"373","Treponema vincentii",83.1975514245848,"NZ_CP050497.1","throat_non_pathogen_04","300",44434,996532,4.45886334
"374","Bifidobacterium longum",94.9365596176345,"NZ_CP040235.1","throat_non_pathogen_04","300",110261,996532,11.06447159
"375","Eggerthella lenta",99.5994204380806,"NZ_AP025575.1","throat_non_pathogen_04","300",11733,996532,1.17738316
"376","Collinsella aerofaciens",99.2742263252627,"NZ_CP040348.1","throat_non_pathogen_04","300",17223,996532,1.72829372
"377","Peptoniphilus harei",96.1890568447945,"NZ_CP068103.1","throat_non_pathogen_04","300",4697,996532,0.47133459
"378","Macrococcoides canis",98.2568027210884,"NZ_CP073804.1","throat_non_pathogen_04","300",2352,996532,0.23601851
"379","Haemophilus sp. oral taxon 036",97.8914519461899,"NZ_CP027235.1","throat_non_pathogen_04","300",23713,996532,2.37955229
"380","Tannerella serpentiformis",99.986849026828,"NZ_CP017038.2","throat_non_pathogen_04","300",7604,996532,0.76304624
"381","Tetragenococcus halophilus",99.4712186812407,"NZ_CP046246.1","throat_non_pathogen_04","300",28178,996532,2.82760614
