"","species","species_sensitivity","accession_id","sample_name","read_length","total_reads","sum_reads","taxon_abundance"
"4618","Prevotella intermedia",97.3019517795637,"NZ_CP024696.1","CSI004","300",1742,996356,0.17483711
"4619","Prevotella jejuni",100,"NZ_CP072363.1","CSI004","300",36,996356,0.00361317
"4620","Prevotella melaninogenica",98.1926473608544,"AP018050.1","CSI004","300",4869,996356,0.48868075
"4621","Prevotella scopos",100,"NZ_CP072390.1","CSI004","300",18,996356,0.00180658
"4622","Rothia dentocariosa",99.3865030674847,"NZ_CP079201.1","CSI004","300",163,996356,0.01635961
"4623","Rothia mucilaginosa",99.9941764647647,"NZ_CP079822.1","CSI004","300",171717,996356,17.23450253
"4624","Schaalia odontolytica",99.8803827751196,"NZ_CP102197.1","CSI004","300",836,996356,0.08390575
"4625","Schaalia sp. Marseille-Q2122",0,"CAHJXR010000003.1","CSI004","300",32733,996356,3.28527153
"4626","Streptococcus australis",100,"NZ_LS483444.1","CSI004","300",31,996356,0.00311134
"4627","Streptococcus mitis",95.0768796727324,"NZ_CP012646.1","CSI004","300",21267,996356,2.13447804
"4628","Streptococcus pseudopneumoniae",91.8918918918919,"NC_015875.1","CSI004","300",111,996356,0.0111406
"4629","Streptococcus suis",97.6027397260274,"NZ_CP079193.1","CSI004","300",876,996356,0.08792038
"4630","uncultured Actinomyces sp.",0,"NZ_CAKAHJ010000001.1","CSI004","300",2059,996356,0.20665304
"4631","uncultured Campylobacter sp.",0,"NZ_CALGPY010000005.1","CSI004","300",20,996356,0.00200731
"4632","uncultured Fusobacterium sp.",0,"NZ_CAKOJV010000001.1","CSI004","300",74,996356,0.00742706
"4633","uncultured Peptostreptococcus sp.",0,"NZ_CABPWA010000001.1","CSI004","300",15,996356,0.00150549
"4634","uncultured Porphyromonas sp.",0,"NZ_UQJH01000001.1","CSI004","300",229,996356,0.02298375
"4635","uncultured Prevotella sp.",0,"NZ_CAJTJS010000001.1","CSI004","300",30,996356,0.00301097
"4636","uncultured Rothia sp.",0,"NZ_CAKAIK010000001.1","CSI004","300",187,996356,0.01876839
"4637","uncultured Streptococcus sp.",0,"NZ_CAMNMG010000001.1","CSI004","300",20,996356,0.00200731
"4638","uncultured Treponema sp.",0,"NZ_CALHUL010000006.1","CSI004","300",39,996356,0.00391426
"4639","Veillonella atypica",100,"NZ_CP020566.1","CSI004","300",47,996356,0.00471719
"4640","Veillonella dispar",96.2630792227205,"NZ_LR134375.1","CSI004","300",669,996356,0.06714468
"4641","Veillonella nakazawae",93.4751559798542,"NZ_AP022321.1","CSI004","300",13303,996356,1.33516534
"4642","Veillonella parvula",99.5592448394917,"NZ_CP019721.1","CSI004","300",13613,996356,1.36627872
"4643","Actinomyces pacaensis",100,"NZ_LT635457.1","CSI004","75",30,999827,0.00300052
"4644","Pseudoprevotella muciniphila",99.8032141685799,"NZ_CP033459.1","CSI004","75",3049,999827,0.30495276
"4645","Alloprevotella tannerae",0,"CAKAFU010000002.1","CSI004","75",31,999827,0.00310054
"4646","Bacteroides fragilis",93.7179487179487,"NZ_CP036550.1","CSI004","75",5460,999827,0.54609447
"4647","Campylobacter concisus",100,"NZ_CP049272.1","CSI004","75",123,999827,0.01230213
"4648","Campylobacter showae",99.0822320117474,"NZ_CP012544.1","CSI004","75",2724,999827,0.27244713
"4649","Capnocytophaga gingivalis",98.2167352537723,"NZ_CP022386.1","CSI004","75",729,999827,0.07291261
"4650","Capnocytophaga leadbetteri",89.4348894348894,"NZ_CP022384.1","CSI004","75",407,999827,0.04070704
"4651","Capnocytophaga sputigena",95.7887093846433,"NZ_CP022379.1","CSI004","75",11018,999827,1.10199064
"4652","Catonella morbi",0,"ACIL03000013.1","CSI004","75",30,999827,0.00300052
"4653","Fusobacterium nucleatum",74.5614035087719,"NZ_CP028101.1","CSI004","75",114,999827,0.01140197
"4654","Fusobacterium pseudoperiodonticum",88.5655897236279,"NZ_CP024703.1","CSI004","75",51380,999827,5.13888903
"4655","Gemella haemolysans",98.6136915821066,"NZ_CP083637.1","CSI004","75",6997,999827,0.69982107
"4656","Haemophilus haemolyticus",89.873417721519,"NZ_CP031243.1","CSI004","75",158,999827,0.01580273
"4657","Haemophilus influenzae",74.1007194244604,"NZ_AP018768.1","CSI004","75",139,999827,0.01390241
"4658","Haemophilus parahaemolyticus",100,"NZ_CP038817.1","CSI004","75",22,999827,0.00220038
"4659","Haemophilus parainfluenzae",97.0883861594568,"NZ_CP035368.2","CSI004","75",33727,999827,3.37328358
"4660","Lancefieldella parvula",100,"NC_013203.1","CSI004","75",15,999827,0.00150026
"4661","Lautropia mirabilis",99.5145631067961,"NZ_LR134378.1","CSI004","75",412,999827,0.04120713
"4662","Leptotrichia trevisanii",95.4545454545455,"NZ_AP019831.1","CSI004","75",22,999827,0.00220038
"4663","Micrococcus luteus",52.7777777777778,"NZ_CP101528.1","CSI004","75",36,999827,0.00360062
"4664","Micrococcus lylae",99.0740740740741,"NZ_CP126965.1","CSI004","75",108,999827,0.01080187
"4665","Neisseria flavescens",77.184265010352,"NZ_CP039886.1","CSI004","75",4830,999827,0.48308357
"4666","Neisseria meningitidis",77.4160383824537,"NZ_CP030820.1","CSI004","75",5836,999827,0.58370098
"4667","Neisseria mucosa",64.6725715115435,"NZ_CP053939.1","CSI004","75",13774,999827,1.37763833
"4668","Neisseria subflava",69.787384080208,"NZ_CP073114.1","CSI004","75",592759,999827,59.28615651
"4669","Porphyromonas gingivalis",97.752808988764,"NZ_CP092048.1","CSI004","75",178,999827,0.01780308
"4670","Prevotella dentalis",96.7741935483871,"NC_019960.1","CSI004","75",31,999827,0.00310054
"4671","Prevotella intermedia",91.1747851002865,"NZ_CP024696.1","CSI004","75",1745,999827,0.17453019
"4672","Prevotella jejuni",86.1111111111111,"NZ_CP072363.1","CSI004","75",36,999827,0.00360062
"4673","Prevotella melaninogenica",95.8819913952059,"AP018050.1","CSI004","75",4881,999827,0.48818446
"4674","Prevotella scopos",94.4444444444444,"NZ_CP072390.1","CSI004","75",18,999827,0.00180031
"4675","Rothia dentocariosa",99.390243902439,"NZ_CP079201.1","CSI004","75",164,999827,0.01640284
"4676","Rothia mucilaginosa",99.7429827920307,"NZ_CP079822.1","CSI004","75",172362,999827,17.23918238
"4677","Schaalia odontolytica",99.4033412887828,"NZ_CP102197.1","CSI004","75",838,999827,0.0838145
"4678","Schaalia sp. Marseille-Q2122",0,"CAHJXR010000003.1","CSI004","75",32853,999827,3.28586846
"4679","Streptococcus australis",74.1935483870968,"NZ_LS483444.1","CSI004","75",31,999827,0.00310054
"4680","Streptococcus mitis",79.6384752271237,"NZ_CP012646.1","CSI004","75",21354,999827,2.13576949
"4681","Streptococcus pseudopneumoniae",67.5675675675676,"NC_015875.1","CSI004","75",111,999827,0.01110192
"4682","Streptococcus suis",85.7305936073059,"NZ_CP079193.1","CSI004","75",876,999827,0.08761516
"4683","uncultured Actinomyces sp.",0,"NZ_CAKAHJ010000001.1","CSI004","75",2063,999827,0.2063357
"4684","uncultured Campylobacter sp.",0,"NZ_CALGPY010000005.1","CSI004","75",20,999827,0.00200035
"4685","uncultured Fusobacterium sp.",0,"NZ_CAKOJV010000001.1","CSI004","75",74,999827,0.00740128
"4686","uncultured Peptostreptococcus sp.",0,"NZ_CABPWA010000001.1","CSI004","75",15,999827,0.00150026
"4687","uncultured Porphyromonas sp.",0,"NZ_UQJH01000001.1","CSI004","75",230,999827,0.02300398
"4688","uncultured Prevotella sp.",0,"NZ_CAJTJS010000001.1","CSI004","75",30,999827,0.00300052
"4689","uncultured Rothia sp.",0,"NZ_CAKAIK010000001.1","CSI004","75",187,999827,0.01870324
"4690","uncultured Streptococcus sp.",0,"NZ_CAMNMG010000001.1","CSI004","75",20,999827,0.00200035
"4691","uncultured Treponema sp.",0,"NZ_CALHUL010000006.1","CSI004","75",39,999827,0.00390067
"4692","Veillonella atypica",95.7446808510638,"NZ_CP020566.1","CSI004","75",47,999827,0.00470081
"4693","Veillonella dispar",86.7756315007429,"NZ_LR134375.1","CSI004","75",673,999827,0.06731164
"4694","Veillonella nakazawae",75.4420137848367,"NZ_AP022321.1","CSI004","75",13348,999827,1.33503096
"4695","Veillonella parvula",97.8058948292255,"NZ_CP019721.1","CSI004","75",13673,999827,1.36753658
"4696","Actinomyces pacaensis",100,"NZ_LT635457.1","CSI005","150",87,999929,0.00870062
"4697","Pseudoprevotella muciniphila",100,"NZ_CP033459.1","CSI005","150",108,999929,0.01080077
"4698","Campylobacter concisus",100,"NZ_CP049272.1","CSI005","150",43,999929,0.00430031
"4699","Catonella morbi",0,"ACIL03000013.1","CSI005","150",87,999929,0.00870062
"4700","Citrus exocortis viroid",100,"NC_001464.1","CSI005","150",20,999929,0.00200014
"4701","Fusobacterium nucleatum",88.5576236753967,"NZ_CP028101.1","CSI005","150",18213,999929,1.82142932
"4702","Gemella haemolysans",100,"NZ_CP083637.1","CSI005","150",43,999929,0.00430031
"4703","Haemophilus influenzae",96.551724137931,"NZ_AP018768.1","CSI005","150",87,999929,0.00870062
"4704","Haemophilus parahaemolyticus",99.3649941865665,"NZ_CP038817.1","CSI005","150",11181,999929,1.11817939
"4705","Janibacter limosus",99.5614219163134,"NZ_CP036164.1","CSI005","150",47654,999929,4.76573837
"4706","Lautropia mirabilis",99.9816547422491,"NZ_LR134378.1","CSI005","150",5451,999929,0.5451387
"4707","Micrococcus luteus",78.4420031388215,"NZ_CP101528.1","CSI005","150",7009,999929,0.70094977
"4708","Micrococcus lylae",99.4112516354121,"NZ_CP126965.1","CSI005","150",4586,999929,0.45863256
"4709","Neisseria subflava",90.3510784763653,"NZ_CP073114.1","CSI005","150",8716,999929,0.87166189
"4710","Porphyromonas gingivalis",98.4615384615385,"NZ_CP092048.1","CSI005","150",130,999929,0.01300092
"4711","Prevotella dentalis",99.2424242424242,"NC_019960.1","CSI005","150",19140,999929,1.9141359
"4712","Prevotella intermedia",97.2222222222222,"NZ_CP024696.1","CSI005","150",324,999929,0.0324023
"4713","Rothia dentocariosa",99.3377483443709,"NZ_CP079201.1","CSI005","150",151,999929,0.01510107
"4714","Rothia mucilaginosa",99.9528706470806,"NZ_CP079822.1","CSI005","150",553795,999929,55.38343222
"4715","Schaalia odontolytica",99.702397538928,"NZ_CP102197.1","CSI005","150",179434,999929,17.94467407
"4716","Streptococcus pseudopneumoniae",96.9230769230769,"NC_015875.1","CSI005","150",65,999929,0.00650046
"4717","Streptococcus suis",97.6744186046512,"NZ_CP079193.1","CSI005","150",43,999929,0.00430031
"4718","uncultured Actinomyces sp.",0,"NZ_CAKAHJ010000001.1","CSI005","150",51997,999929,5.2000692
"4719","uncultured Fusobacterium sp.",0,"NZ_CAKOJV010000001.1","CSI005","150",173,999929,0.01730123
"4720","uncultured Micrococcus sp.",0,"NZ_CANLQP010000001.1","CSI005","150",65,999929,0.00650046
"4721","uncultured Mobiluncus sp.",0,"NZ_CAMUES010000001.1","CSI005","150",42527,999929,4.25300196
"4722","uncultured Prevotella sp.",0,"NZ_CAJTJS010000001.1","CSI005","150",108,999929,0.01080077
"4723","uncultured Streptococcus sp.",0,"NZ_CAMNMG010000001.1","CSI005","150",87,999929,0.00870062
"4724","uncultured Treponema sp.",0,"NZ_CALHUL010000006.1","CSI005","150",3375,999929,0.33752396
"4725","Veillonella dispar",94.6153846153846,"NZ_LR134375.1","CSI005","150",130,999929,0.01300092
"4726","Veillonella nakazawae",88.6568570274999,"NZ_AP022321.1","CSI005","150",44582,999929,4.45851655
"4727","Veillonella parvula",98.6486486486486,"NZ_CP019721.1","CSI005","150",518,999929,0.05180368
"4728","Actinomyces pacaensis",100,"NZ_LT635457.1","CSI005","300",87,996507,0.0087305
"4729","Pseudoprevotella muciniphila",99.0654205607477,"NZ_CP033459.1","CSI005","300",107,996507,0.01073751
"4730","Campylobacter concisus",100,"NZ_CP049272.1","CSI005","300",43,996507,0.00431507
"4731","Catonella morbi",0,"ACIL03000013.1","CSI005","300",86,996507,0.00863015
"4732","Citrus exocortis viroid",100,"NC_001464.1","CSI005","300",22,996507,0.00220771
"4733","Fusobacterium nucleatum",94.2715505370421,"NZ_CP028101.1","CSI005","300",18155,996507,1.82186377
"4734","Gemella haemolysans",100,"NZ_CP083637.1","CSI005","300",43,996507,0.00431507
"4735","Haemophilus influenzae",96.5116279069768,"NZ_AP018768.1","CSI005","300",86,996507,0.00863015
"4736","Haemophilus parahaemolyticus",99.6591928251121,"NZ_CP038817.1","CSI005","300",11150,996507,1.11890835
"4737","Janibacter limosus",99.7474162790208,"NZ_CP036164.1","CSI005","300",47509,996507,4.76755306
"4738","Lautropia mirabilis",100,"NZ_LR134378.1","CSI005","300",5433,996507,0.5452044
"4739","Micrococcus luteus",90.5355097365407,"NZ_CP101528.1","CSI005","300",6984,996507,0.70084806
"4740","Micrococcus lylae",99.7157227203149,"NZ_CP126965.1","CSI005","300",4573,996507,0.45890295
"4741","Neisseria subflava",97.0987796454064,"NZ_CP073114.1","CSI005","300",8686,996507,0.87164465
"4742","Porphyromonas gingivalis",100,"NZ_CP092048.1","CSI005","300",129,996507,0.01294522
"4743","Prevotella dentalis",99.2869501389399,"NC_019960.1","CSI005","300",19073,996507,1.91398555
"4744","Prevotella intermedia",97.5308641975309,"NZ_CP024696.1","CSI005","300",324,996507,0.03251357
"4745","Rothia dentocariosa",100,"NZ_CP079201.1","CSI005","300",151,996507,0.01515293
"4746","Rothia mucilaginosa",99.9916639332825,"NZ_CP079822.1","CSI005","300",551819,996507,55.37532601
"4747","Schaalia odontolytica",99.888726731865,"NZ_CP102197.1","CSI005","300",178839,996507,17.94658743
"4748","Streptococcus pseudopneumoniae",87.6923076923077,"NC_015875.1","CSI005","300",65,996507,0.00652278
"4749","Streptococcus suis",97.6744186046512,"NZ_CP079193.1","CSI005","300",43,996507,0.00431507
"4750","uncultured Actinomyces sp.",0,"NZ_CAKAHJ010000001.1","CSI005","300",51833,996507,5.20146873
"4751","uncultured Fusobacterium sp.",0,"NZ_CAKOJV010000001.1","CSI005","300",171,996507,0.01715994
"4752","uncultured Micrococcus sp.",0,"NZ_CANLQP010000001.1","CSI005","300",65,996507,0.00652278
"4753","uncultured Mobiluncus sp.",0,"NZ_CAMUES010000001.1","CSI005","300",42396,996507,4.25446083
"4754","uncultured Prevotella sp.",0,"NZ_CAJTJS010000001.1","CSI005","300",107,996507,0.01073751
"4755","uncultured Streptococcus sp.",0,"NZ_CAMNMG010000001.1","CSI005","300",86,996507,0.00863015
"4756","uncultured Treponema sp.",0,"NZ_CALHUL010000006.1","CSI005","300",3360,996507,0.33717776
"4757","Veillonella dispar",96.1538461538462,"NZ_LR134375.1","CSI005","300",130,996507,0.01304557
"4758","Veillonella nakazawae",93.7664558813601,"NZ_AP022321.1","CSI005","300",44437,996507,4.45927625
"4759","Veillonella parvula",99.6116504854369,"NZ_CP019721.1","CSI005","300",515,996507,0.05168052
"4760","Actinomyces pacaensis",98.8505747126437,"NZ_LT635457.1","CSI005","75",87,999941,0.00870051
"4761","Pseudoprevotella muciniphila",100,"NZ_CP033459.1","CSI005","75",108,999941,0.01080064
"4762","Campylobacter concisus",100,"NZ_CP049272.1","CSI005","75",43,999941,0.00430025
"4763","Catonella morbi",0,"ACIL03000013.1","CSI005","75",87,999941,0.00870051
"4764","Citrus exocortis viroid",100,"NC_001464.1","CSI005","75",22,999941,0.00220013
"4765","Fusobacterium nucleatum",72.587020972878,"NZ_CP028101.1","CSI005","75",18214,999941,1.82150747
"4766","Gemella haemolysans",97.6744186046512,"NZ_CP083637.1","CSI005","75",43,999941,0.00430025
"4767","Haemophilus influenzae",85.0574712643678,"NZ_AP018768.1","CSI005","75",87,999941,0.00870051
"4768","Haemophilus parahaemolyticus",98.0500894454383,"NZ_CP038817.1","CSI005","75",11180,999941,1.11806597
"4769","Janibacter limosus",98.6066227389096,"NZ_CP036164.1","CSI005","75",47654,999941,4.76568118
"4770","Lautropia mirabilis",99.7431663914878,"NZ_LR134378.1","CSI005","75",5451,999941,0.54513216
"4771","Micrococcus luteus",59.3237266371808,"NZ_CP101528.1","CSI005","75",7009,999941,0.70094136
"4772","Micrococcus lylae",98.7134757959006,"NZ_CP126965.1","CSI005","75",4586,999941,0.45862706
"4773","Neisseria subflava",69.443488238669,"NZ_CP073114.1","CSI005","75",8715,999941,0.87155142
"4774","Porphyromonas gingivalis",99.2307692307692,"NZ_CP092048.1","CSI005","75",130,999941,0.01300077
"4775","Prevotella dentalis",98.8403677392394,"NC_019960.1","CSI005","75",19144,999941,1.91451296
"4776","Prevotella intermedia",95.3703703703704,"NZ_CP024696.1","CSI005","75",324,999941,0.03240191
"4777","Rothia dentocariosa",98.0132450331126,"NZ_CP079201.1","CSI005","75",151,999941,0.01510089
"4778","Rothia mucilaginosa",99.7246442493983,"NZ_CP079822.1","CSI005","75",553829,999941,55.38616778
"4779","Schaalia odontolytica",99.1717295579956,"NZ_CP102197.1","CSI005","75",179410,999941,17.94205858
"4780","Streptococcus pseudopneumoniae",52.3076923076923,"NC_015875.1","CSI005","75",65,999941,0.00650038
"4781","Streptococcus suis",88.3720930232558,"NZ_CP079193.1","CSI005","75",43,999941,0.00430025
"4782","uncultured Actinomyces sp.",0,"NZ_CAKAHJ010000001.1","CSI005","75",51994,999941,5.19970678
"4783","uncultured Fusobacterium sp.",0,"NZ_CAKOJV010000001.1","CSI005","75",173,999941,0.01730102
"4784","uncultured Micrococcus sp.",0,"NZ_CANLQP010000001.1","CSI005","75",65,999941,0.00650038
"4785","uncultured Mobiluncus sp.",0,"NZ_CAMUES010000001.1","CSI005","75",42527,999941,4.25295092
"4786","uncultured Prevotella sp.",0,"NZ_CAJTJS010000001.1","CSI005","75",108,999941,0.01080064
"4787","uncultured Streptococcus sp.",0,"NZ_CAMNMG010000001.1","CSI005","75",87,999941,0.00870051
"4788","uncultured Treponema sp.",0,"NZ_CALHUL010000006.1","CSI005","75",3375,999941,0.33751991
"4789","Veillonella dispar",88.3720930232558,"NZ_LR134375.1","CSI005","75",129,999941,0.01290076
"4790","Veillonella nakazawae",75.4054235919521,"NZ_AP022321.1","CSI005","75",44583,999941,4.45856306
"4791","Veillonella parvula",97.6833976833977,"NZ_CP019721.1","CSI005","75",518,999941,0.05180306
"4792","Actinomyces graevenitzii",0,"CP097095.1","SI001","150",11925,999917,1.19259899
"4793","Pseudoprevotella muciniphila",99.4897959183673,"NZ_CP033459.1","SI001","150",196,999917,0.01960163
"4794","Campylobacter concisus",99.8449612403101,"NZ_CP049272.1","SI001","150",645,999917,0.06450535
"4795","Catonella morbi",0,"ACIL03000013.1","SI001","150",99,999917,0.00990082
"4796","Fusobacterium nucleatum",88.777921780895,"NZ_CP028101.1","SI001","150",13117,999917,1.31180888
"4797","Fusobacterium pseudoperiodonticum",95,"NZ_CP024703.1","SI001","150",140,999917,0.01400116
"4798","Gemella haemolysans",99.6801614218864,"NZ_CP083637.1","SI001","150",46586,999917,4.6589867
"4799","Haemophilus haemolyticus",95.7142857142857,"NZ_CP031243.1","SI001","150",70,999917,0.00700058
"4800","Haemophilus influenzae",91.699604743083,"NZ_AP018768.1","SI001","150",253,999917,0.0253021
"4801","Haemophilus parahaemolyticus",99.3534047282279,"NZ_CP038817.1","SI001","150",4949,999917,0.49494108
"4802","Haemophilus parainfluenzae",98.9982321744255,"NZ_CP035368.2","SI001","150",5091,999917,0.50914226
"4803","Leptotrichia trevisanii",97.7936001987002,"NZ_AP019831.1","SI001","150",24157,999917,2.41590052
"4804","Leptotrichia wadei",94.8979591836735,"NZ_AP019829.2","SI001","150",98,999917,0.00980081
"4805","Micrococcus luteus",85.7142857142857,"NZ_CP101528.1","SI001","150",126,999917,0.01260105
"4806","Neisseria mucosa",87.4173074985728,"NZ_CP053939.1","SI001","150",29779,999917,2.97814719
"4807","Neisseria subflava",90.0758725341426,"NZ_CP073114.1","SI001","150",3295,999917,0.32952735
"4808","Porphyromonas gingivalis",98.4990619136961,"NZ_CP092048.1","SI001","150",533,999917,0.05330442
"4809","Prevotella dentalis",99.406528189911,"NC_019960.1","SI001","150",337,999917,0.0337028
"4810","Prevotella intermedia",95.0071326676177,"NZ_CP024696.1","SI001","150",701,999917,0.07010582
"4811","Prevotella jejuni",97.7167540882444,"NZ_CP072363.1","SI001","150",3241,999917,0.3241269
"4812","Prevotella scopos",100,"NZ_CP072390.1","SI001","150",84,999917,0.0084007
"4813","Rothia dentocariosa",100,"NZ_CP079201.1","SI001","150",98,999917,0.00980081
"4814","Rothia mucilaginosa",99.9506523147149,"NZ_CP079822.1","SI001","150",810575,999917,81.06422833
"4815","Streptococcus australis",90.8826220780301,"NZ_LS483444.1","SI001","150",12021,999917,1.20219978
"4816","Streptococcus mitis",92.0961783053722,"NZ_CP012646.1","SI001","150",16511,999917,1.65123705
"4817","Streptococcus pseudopneumoniae",89.2857142857143,"NC_015875.1","SI001","150",56,999917,0.00560046
"4818","Streptococcus suis",91.4285714285714,"NZ_CP079193.1","SI001","150",70,999917,0.00700058
"4819","Treponema sp. OMZ 838",55.1020408163265,"NZ_CP009227.1","SI001","150",196,999917,0.01960163
"4820","uncultured Actinomyces sp.",0,"NZ_CAKAHJ010000001.1","SI001","150",154,999917,0.01540128
"4821","uncultured Porphyromonas sp.",0,"NZ_UQJH01000001.1","SI001","150",6523,999917,0.65235415
"4822","uncultured Streptococcus sp.",0,"NZ_CAMNMG010000001.1","SI001","150",140,999917,0.01400116
"4823","uncultured Treponema sp.",0,"NZ_CALHUL010000006.1","SI001","150",7113,999917,0.71135904
"4824","Veillonella atypica",100,"NZ_CP020566.1","SI001","150",407,999917,0.04070338
"4825","Veillonella dispar",92.8571428571429,"NZ_LR134375.1","SI001","150",112,999917,0.01120093
"4826","Veillonella nakazawae",88.7755102040816,"NZ_AP022321.1","SI001","150",98,999917,0.00980081
"4827","Veillonella parvula",99.2874109263658,"NZ_CP019721.1","SI001","150",421,999917,0.04210349
"4828","Actinomyces graevenitzii",0,"CP097095.1","SI001","300",11886,996342,1.19296386
"4829","Pseudoprevotella muciniphila",100,"NZ_CP033459.1","SI001","300",193,996342,0.01937086
"4830","Campylobacter concisus",100,"NZ_CP049272.1","SI001","300",645,996342,0.06473681
"4831","Catonella morbi",0,"ACIL03000013.1","SI001","300",98,996342,0.00983598
"4832","Fusobacterium nucleatum",94.1766146311601,"NZ_CP028101.1","SI001","300",13068,996342,1.31159782
"4833","Fusobacterium pseudoperiodonticum",99.2857142857143,"NZ_CP024703.1","SI001","300",140,996342,0.0140514
"4834","Gemella haemolysans",99.8621105700866,"NZ_CP083637.1","SI001","300",46414,996342,4.65844058
"4835","Haemophilus haemolyticus",100,"NZ_CP031243.1","SI001","300",70,996342,0.0070257
"4836","Haemophilus influenzae",96.8379446640316,"NZ_AP018768.1","SI001","300",253,996342,0.02539289
"4837","Haemophilus parahaemolyticus",99.7973657548126,"NZ_CP038817.1","SI001","300",4935,996342,0.49531185
"4838","Haemophilus parainfluenzae",99.5666732322238,"NZ_CP035368.2","SI001","300",5077,996342,0.50956399
"4839","Leptotrichia trevisanii",99.2931980708465,"NZ_AP019831.1","SI001","300",24052,996342,2.41403052
"4840","Leptotrichia wadei",100,"NZ_AP019829.2","SI001","300",98,996342,0.00983598
"4841","Micrococcus luteus",91.2698412698413,"NZ_CP101528.1","SI001","300",126,996342,0.01264626
"4842","Neisseria mucosa",95.1415094339623,"NZ_CP053939.1","SI001","300",29680,996342,2.9788968
"4843","Neisseria subflava",96.7103259214133,"NZ_CP073114.1","SI001","300",3283,996342,0.32950533
"4844","Porphyromonas gingivalis",98.8721804511278,"NZ_CP092048.1","SI001","300",532,996342,0.05339532
"4845","Prevotella dentalis",100,"NC_019960.1","SI001","300",336,996342,0.03372336
"4846","Prevotella intermedia",97.432239657632,"NZ_CP024696.1","SI001","300",701,996342,0.07035737
"4847","Prevotella jejuni",98.729863692689,"NZ_CP072363.1","SI001","300",3228,996342,0.32398514
"4848","Prevotella scopos",100,"NZ_CP072390.1","SI001","300",84,996342,0.00843084
"4849","Rothia dentocariosa",100,"NZ_CP079201.1","SI001","300",97,996342,0.00973561
"4850","Rothia mucilaginosa",99.9918282546762,"NZ_CP079822.1","SI001","300",807661,996342,81.06262709
"4851","Streptococcus australis",95.0421500709457,"NZ_LS483444.1","SI001","300",11981,996342,1.20249874
"4852","Streptococcus mitis",94.9917948094572,"NZ_CP012646.1","SI001","300",16453,996342,1.6513406
"4853","Streptococcus pseudopneumoniae",94.6428571428571,"NC_015875.1","SI001","300",56,996342,0.00562056
"4854","Streptococcus suis",98.5714285714286,"NZ_CP079193.1","SI001","300",70,996342,0.0070257
"4855","Treponema sp. OMZ 838",62.2448979591837,"NZ_CP009227.1","SI001","300",196,996342,0.01967196
"4856","uncultured Actinomyces sp.",0,"NZ_CAKAHJ010000001.1","SI001","300",154,996342,0.01545654
"4857","uncultured Porphyromonas sp.",0,"NZ_UQJH01000001.1","SI001","300",6504,996342,0.6527879
"4858","uncultured Streptococcus sp.",0,"NZ_CAMNMG010000001.1","SI001","300",140,996342,0.0140514
"4859","uncultured Treponema sp.",0,"NZ_CALHUL010000006.1","SI001","300",7095,996342,0.71210488
"4860","Veillonella atypica",99.2628992628993,"NZ_CP020566.1","SI001","300",407,996342,0.04084943
"4861","Veillonella dispar",95.4954954954955,"NZ_LR134375.1","SI001","300",111,996342,0.01114075
"4862","Veillonella nakazawae",90.8163265306122,"NZ_AP022321.1","SI001","300",98,996342,0.00983598
"4863","Veillonella parvula",99.0476190476191,"NZ_CP019721.1","SI001","300",420,996342,0.0421542
"4864","Actinomyces graevenitzii",0,"CP097095.1","SI001","75",11925,999955,1.19255366
"4865","Pseudoprevotella muciniphila",99.4897959183673,"NZ_CP033459.1","SI001","75",196,999955,0.01960088
"4866","Campylobacter concisus",99.6899224806202,"NZ_CP049272.1","SI001","75",645,999955,0.0645029
"4867","Catonella morbi",0,"ACIL03000013.1","SI001","75",99,999955,0.00990045
"4868","Fusobacterium nucleatum",72.2095150960659,"NZ_CP028101.1","SI001","75",13116,999955,1.31165902
"4869","Fusobacterium pseudoperiodonticum",87.8571428571429,"NZ_CP024703.1","SI001","75",140,999955,0.01400063
"4870","Gemella haemolysans",98.4671861917949,"NZ_CP083637.1","SI001","75",46581,999955,4.65830962
"4871","Haemophilus haemolyticus",85.7142857142857,"NZ_CP031243.1","SI001","75",70,999955,0.00700032
"4872","Haemophilus influenzae",77.0750988142292,"NZ_AP018768.1","SI001","75",253,999955,0.02530114
"4873","Haemophilus parahaemolyticus",97.9789814066289,"NZ_CP038817.1","SI001","75",4948,999955,0.49482227
"4874","Haemophilus parainfluenzae",97.1316306483301,"NZ_CP035368.2","SI001","75",5090,999955,0.50902291
"4875","Leptotrichia trevisanii",90.7604421078776,"NZ_AP019831.1","SI001","75",24157,999955,2.41580871
"4876","Leptotrichia wadei",86.734693877551,"NZ_AP019829.2","SI001","75",98,999955,0.00980044
"4877","Micrococcus luteus",53.1746031746032,"NZ_CP101528.1","SI001","75",126,999955,0.01260057
"4878","Neisseria mucosa",65.0972226886523,"NZ_CP053939.1","SI001","75",29777,999955,2.977834
"4879","Neisseria subflava",69.2447679708826,"NZ_CP073114.1","SI001","75",3297,999955,0.32971484
"4880","Porphyromonas gingivalis",98.3114446529081,"NZ_CP092048.1","SI001","75",533,999955,0.0533024
"4881","Prevotella dentalis",99.7032640949555,"NC_019960.1","SI001","75",337,999955,0.03370152
"4882","Prevotella intermedia",92.7246790299572,"NZ_CP024696.1","SI001","75",701,999955,0.07010315
"4883","Prevotella jejuni",94.0759024992286,"NZ_CP072363.1","SI001","75",3241,999955,0.32411459
"4884","Prevotella scopos",96.4285714285714,"NZ_CP072390.1","SI001","75",84,999955,0.00840038
