accession_id,total_reads,genus,genus_taxid,genus_accuracy,genus_sensitivity,genus_specificity,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_accuracy,species_sensitivity,species_specificity,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP125087.1,1846,Haemophilus,724,0.9996593564632711,0.9937056165267915,0.9999392919051175,43099,922391,56,273,Haemophilus parainfluenzae,729,0.9997815325645902,0.9312026002166848,0.9999128606299139,1719,963889,84,127
NZ_CP016753.1,3184,Leptotrichia,32067,0.9997566831880508,0.994822665221143,0.9999989137778589,44963,920621,1,234,Leptotrichia sp. oral taxon 498,712368,0.9996075869288138,0.8985552763819096,0.9999418263412404,2861,962579,56,323
NZ_CP031255.1,3037,Neisseria,482,0.9991168117421587,0.9913244116289801,0.9999919383073209,96669,868297,7,846,Neisseria elongata,495,0.999843656005939,0.9818900230490616,0.9999002889543012,2982,962686,96,55
NZ_CP041379.1,6794,Bacteroides,816,0.9967675102684872,0.9541281660237433,0.999939929049533,63814,898883,54,3068,Bacteroides intestinalis,329854,0.999843656005939,0.9798351486605829,0.9999854018404108,6657,959011,14,137
NZ_CP020431.2,1180,Streptococcus,1301,0.9993062882382724,0.9967459509275747,0.999875955333794,175209,789940,98,572,Streptococcus sp. FDAARGOS_192,1839799,0.9993901548840932,0.511864406779661,0.999986523455925,604,964626,13,576
NZ_CP027228.1,23536,Mogibacterium,86331,0.999943053512097,0.9977056424201224,0.9999989387477011,23482,942282,1,54,Mogibacterium diversum,114527,0.9999119917914226,0.9964309993201903,0.9999989387477011,23452,942282,1,84
NZ_CP044230.1,6350,Streptococcus,1301,0.9993062882382724,0.9967459509275747,0.999875955333794,175209,789940,98,572,Streptococcus sp. LPB0220,2610896,0.9993653055075536,0.9056692913385826,0.9999854085957962,5751,959455,14,599
NZ_CP039886.1,16809,Neisseria,482,0.9991168117421587,0.9913244116289801,0.9999919383073209,96669,868297,7,846,Neisseria flavescens,484,0.9981839247312385,0.9433636742221428,0.9991549087996965,15857,948208,802,952
NZ_CP022379.1,33398,Capnocytophaga,1016,0.999530968017817,0.9966756901475488,0.9999927828665252,134017,831349,6,447,Capnocytophaga sputigena,1019,0.999282474252422,0.9836217737589077,0.9998434183700281,32851,932275,146,547
NZ_CP053939.1,7300,Neisseria,482,0.9991168117421587,0.9913244116289801,0.9999919383073209,96669,868297,7,846,Neisseria mucosa,488,0.9988848842277901,0.9713698630136987,0.9990944363126866,7091,957651,868,209
NZ_CP126076.1,2500,Clostridioides,1870884,0.9999171687448684,0.9736,0.9999854669117915,2434,963305,14,66,Clostridioides difficile,1496,0.9998788592893699,0.958,0.9999875430672498,2395,963307,12,105
NZ_CP024696.1,5233,Prevotella,838,0.9996945597467021,0.9769319492502884,0.9998799602511858,7623,957901,115,180,Prevotella intermedia,28131,0.9996945597467021,0.9506974966558379,0.9999614818454569,4975,960549,37,258
NZ_CP046315.1,3657,Schaalia,2529408,0.9999958584372434,0.9992613111726685,1.0,5411,960404,0,4,Schaalia odontolytica,1660,0.9999948230465543,0.998632759092152,1.0,3652,962162,0,5
NZ_CP019721.1,9029,Veillonella,29465,0.9999886107024194,0.9996786632390745,0.9999926576327579,12444,953364,7,4,Veillonella parvula,29466,0.9998954255403962,0.9889245763650459,0.9999989548385748,8929,956789,1,100
NZ_CP027231.1,6983,Bacteroides,816,0.9967675102684872,0.9541281660237433,0.999939929049533,63814,898883,54,3068,Bacteroides zoogleoformans,28119,0.9994108626978762,0.9195188314478018,0.9999926994814546,6421,958829,7,562
NZ_CP114055.1,2266,Bergeyella,59735,0.9999896460931086,0.9955869373345102,1.0,2256,963553,0,10,Bergeyella cardium,1585976,0.9999896460931086,0.9955869373345102,1.0,2256,963553,0,10
NZ_CP017042.1,17575,Selenomonas,970,0.9999989646093108,1.0,0.9999989389109831,23391,942427,1,0,Selenomonas sp. oral taxon 920,1884263,0.9999099210100443,0.9952204836415363,0.9999968362573346,17491,948241,3,84
NZ_CP028415.1,2533,Streptococcus,1301,0.9993062882382724,0.9967459509275747,0.999875955333794,175209,789940,98,572,Streptococcus mitis,28037,0.9998198420200887,0.9498618239242006,0.9999512086753052,2406,963239,47,127
NZ_CP066560.1,13177,Histophilus,214906,0.9995371803619518,0.9666084844805343,0.9999926520140829,12737,952635,7,440,Histophilus somni,731,0.9995371803619518,0.9666084844805343,0.9999926520140829,12737,952635,7,440
NZ_CP050870.1,36339,Streptococcus,1301,0.9993062882382724,0.9967459509275747,0.999875955333794,175209,789940,98,572,Streptococcus thermophilus,1308,0.9987709912519841,0.9706926442664906,0.9998687438137454,35274,929358,122,1065
NZ_CP012067.1,3423,Aggregatibacter,416916,0.9999119917914226,0.9975924499229584,0.9999629649616794,20718,945016,35,50,Aggregatibacter aphrophilus,732,0.9999306288238272,0.9900671925211803,0.9999657105806757,3389,962363,33,34
NZ_CP072224.1,5737,Bacteroides,816,0.9967675102684872,0.9541281660237433,0.999939929049533,63814,898883,54,3068,Bacteroides thetaiotaomicron,818,0.9990557236914991,0.8521875544709778,0.9999333390272914,4889,960018,64,848
NZ_CP014239.1,5816,Selenomonas,970,0.9999989646093108,1.0,0.9999989389109831,23391,942427,1,0,Selenomonas sp. oral taxon 136,713030,0.999608622319503,0.9350068775790922,1.0,5438,960003,0,378
NZ_CP039462.1,1160,Streptococcus,1301,0.9993062882382724,0.9967459509275747,0.999875955333794,175209,789940,98,572,Streptococcus suis,1307,0.999871611554546,0.9491379310344827,0.9999326186766515,1101,964594,65,59
NZ_CP072244.1,7412,Bacteroides,816,0.9967675102684872,0.9541281660237433,0.999939929049533,63814,898883,54,3068,Bacteroides ovatus,28116,0.9963854511041924,0.5313005936319481,0.9999822622330596,3938,958390,17,3474
NZ_CP017295.1,5468,Streptococcus,1301,0.9993062882382724,0.9967459509275747,0.999875955333794,175209,789940,98,572,Streptococcus gordonii,1302,0.9998415852245607,0.981528895391368,0.9999458531307824,5367,960299,52,101
NZ_CP107038.1,474,Streptococcus,1301,0.9993062882382724,0.9967459509275747,0.999875955333794,175209,789940,98,572,Streptococcus pneumoniae,1313,0.9998301959269801,0.8924050632911392,0.9998829434036536,423,965232,113,51
NZ_CP126474.1,7790,Bacillus,1386,0.9998943901497072,0.9886864356317733,0.999992688699445,8302,957415,7,95,Bacillus thuringiensis,1428,0.9937265678144662,0.22233632862644415,0.9999989561902615,1732,958028,1,6058
NZ_CP065983.1,1406,Aggregatibacter,416916,0.9999119917914226,0.9975924499229584,0.9999629649616794,20718,945016,35,50,Aggregatibacter segnis,739,0.9998560806942087,0.9011379800853485,1.0,1267,964413,0,139
NZ_CP029206.1,5846,Actinobacillus,713,0.9996738519329191,0.9660132235239531,0.9999770162495116,8328,957176,22,293,Actinobacillus porcitonsillarum,189834,0.9997908510807926,0.9666438590489224,0.9999927081282495,5651,959966,7,195
NZ_CP038817.1,13948,Haemophilus,724,0.9996593564632711,0.9937056165267915,0.9999392919051175,43099,922391,56,273,Haemophilus parahaemolyticus,735,0.9998612576476544,0.9906796673358188,0.9999957977499052,13818,951867,4,130
NZ_CP073277.1,11087,Clostridium,1485,0.9998395144431824,0.9920827274196155,0.9999915545176996,18420,947244,8,147,Clostridium butyricum,1492,0.9958128800530949,0.6353386849463335,0.9999989525856471,7044,954731,1,4043
NZ_CP043435.1,13652,Campylobacter,194,0.999985504530352,0.999596882558452,0.9999978633642825,29756,936049,2,12,Campylobacter fetus,196,0.9998333020990475,0.9882068561382947,1.0,13491,952167,0,161
NZ_CP066065.1,1758,Schaalia,2529408,0.9999958584372434,0.9992613111726685,1.0,5411,960404,0,4,Schaalia meyeri,52773,1.0,1.0,1.0,1758,964061,0,0
NZ_AP025240.1,2949,Phocaeicola,909656,0.9993031820662049,0.9118374073056853,0.9999676590470686,6640,958506,31,642,Phocaeicola vulgatus,821,0.9996117284915703,0.8789420142421159,0.9999813058876068,2592,962852,18,357
NZ_CP014227.1,6846,Capnocytophaga,1016,0.999530968017817,0.9966756901475488,0.9999927828665252,134017,831349,6,447,Capnocytophaga haemolytica,45243,0.9999471950748535,0.9947414548641542,0.9999843582666039,6810,958958,15,36
NZ_CP064367.1,864,Neisseria,482,0.9991168117421587,0.9913244116289801,0.9999919383073209,96669,868297,7,846,Neisseria meningitidis,487,0.9991934306531555,0.9409722222222222,0.9992455606738138,813,964227,728,51
NZ_CP063424.1,2775,Actinobacillus,713,0.9996738519329191,0.9660132235239531,0.9999770162495116,8328,957176,22,293,Actinobacillus pleuropneumoniae,715,0.9995112955947232,0.8317117117117118,0.9999948081292236,2308,963039,5,467
NZ_CP031253.1,29213,Neisseria,482,0.9991168117421587,0.9913244116289801,0.9999919383073209,96669,868297,7,846,Neisseria lactamica,486,0.9971392155258905,0.9084654092356143,0.9999049760518297,26539,936517,89,2674
NZ_CP012196.1,730,Campylobacter,194,0.999985504530352,0.999596882558452,0.9999978633642825,29756,936049,2,12,Campylobacter gracilis,824,0.9999979292186217,0.9986301369863013,0.9999989638261342,729,965088,1,1
NZ_CP050133.1,3724,Streptococcus,1301,0.9993062882382724,0.9967459509275747,0.999875955333794,175209,789940,98,572,Streptococcus cristatus,45634,0.999893354759018,0.9849624060150376,0.9999511482753782,3668,962048,47,56
NZ_CP127017.1,17630,Staphylococcus,1279,0.9995506404409108,0.9769710720363017,0.9999704700223268,17224,948161,28,406,Staphylococcus aureus,1280,0.987591877981278,0.3212138400453772,0.9999820710849842,5663,948172,17,11967
NZ_CP013195.1,2827,Hoylesella,2974257,0.9998446913966281,0.9483551467987266,0.9999958462790968,2681,962988,4,146,Hoylesella enoeca,76123,0.9998457267873173,0.948001414927485,0.9999979231395484,2680,962990,2,147
NZ_CP014231.1,5569,Leptotrichia,32067,0.9997566831880508,0.994822665221143,0.9999989137778589,44963,920621,1,234,Leptotrichia sp. oral taxon 847,1785996,0.9996759227142974,0.9520560244209014,0.9999520958083832,5302,960204,46,267
NZ_CP036550.1,11121,Bacteroides,816,0.9967675102684872,0.9541281660237433,0.999939929049533,63814,898883,54,3068,Bacteroides fragilis,817,0.9994232873861458,0.951892815394299,0.9999769560635929,10586,954676,22,535
NZ_CP031243.1,6510,Haemophilus,724,0.9996593564632711,0.9937056165267915,0.9999392919051175,43099,922391,56,273,Haemophilus haemolyticus,726,0.9995371803619518,0.9506912442396314,0.9998686554592942,6189,959183,126,321
NZ_CP046027.1,16623,Neisseria,482,0.9991168117421587,0.9913244116289801,0.9999919383073209,96669,868297,7,846,Neisseria brasiliensis,2666100,0.9995765252081394,0.9761174276604704,0.9999873577216929,16226,949184,12,397
NZ_CP040121.1,2187,Duncaniella,2518495,0.9999565135910559,0.9817101051668953,0.9999979245189035,2147,963630,2,40,Duncaniella sp. B8,2576606,0.9977884054879849,0.023319615912208505,1.0,51,963632,0,2136
