accession_id,total_reads,genus,genus_taxid,genus_accuracy,genus_sensitivity,genus_specificity,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_accuracy,species_sensitivity,species_specificity,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP114055.1,13116,Bergeyella,59735,0.9998633779598513,0.9897834705702958,0.9999979640263822,12982,982329,2,134,Bergeyella cardium,1585976,0.9998633779598513,0.9897834705702958,0.9999979640263822,12982,982329,2,134
NZ_CP013195.1,3419,Hoylesella,2974257,0.9997589022820904,0.9306814858145657,0.9999969758918095,3182,992025,3,237,Hoylesella enoeca,76123,0.9997609114297396,0.9303890026323487,1.0,3181,992028,0,238
NZ_CP063424.1,21716,Actinobacillus,713,0.9985262901992773,0.938708786148462,0.9998603310359843,20385,973595,136,1331,Actinobacillus pleuropneumoniae,715,0.9938088115188453,0.7166605268005157,0.9999897302232341,15563,973721,10,6153
NZ_CP121769.1,23290,Glaesserella,2094023,0.9980491176325812,0.9170030055817948,0.9999907422360792,21357,972148,9,1933,Glaesserella parasuis,738,0.9979878386292791,0.9143838557320738,0.9999907422360792,21296,972148,9,1994
NZ_CP050497.1,18394,Treponema,157,0.9999789039496829,0.9989670544742851,0.9999979530281367,18375,977051,2,19,Treponema vincentii,69710,0.9907930808973255,0.5017396977275198,1.0,9229,977053,0,9165
NZ_CP068102.1,24314,Rothia,32207,0.9999678536376121,0.998766142962902,0.9999979405498526,24284,971131,2,30,Rothia aeria,172042,0.9996936049834898,0.987455786789504,1.0,24009,971133,0,305
NZ_CP097843.1,8004,Streptococcus,1301,0.9998965288960637,0.9923788105947027,0.9999574658992975,7943,987401,42,61,Streptococcus oralis,1303,0.9991029155746112,0.8884307846076962,1.0,7111,987443,0,893
NZ_CP027228.1,117581,Mogibacterium,86331,0.998999444470675,0.9915292436703209,1.0,116585,877866,0,996,Mogibacterium diversum,114527,0.998308297679334,0.9856779581735144,1.0,115897,877866,0,1684
NZ_CP019668.1,66537,Burkholderia,32008,0.9994846536279681,0.9922900040578926,1.0,66024,928910,0,513,Burkholderia cenocepacia,95486,0.97136964599823,0.5716668921051445,1.0,38037,928910,0,28500
NZ_CP097335.1,4732,Mannheimia,75984,0.9998965288960637,0.9902789518174133,0.9999424657949058,4686,990658,57,46,Mannheimia haemolytica,75985,0.9998834694363437,0.9828825021132713,0.999964671979328,4651,990680,35,81
