accession_id,total_reads,genus,genus_taxid,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP008852.1,5387,Pelosinus,365348,5382,994469,0,5,Pelosinus sp. UFO1,484770,5371,994469,0,16
NZ_CP032819.1,2486,Butyricimonas,574697,2165,997369,1,321,Butyricimonas faecalis,2093856,2155,997370,0,331
NZ_CP029033.1,9571,Actinobaculum,76833,9554,990285,0,17,Actinobaculum sp. 313,2495645,9554,990285,0,17
NZ_CP045696.1,4343,Sodaliphilus,2815786,4300,995513,0,43,Sodaliphilus pleomorphus,2606626,4300,995513,0,43
NZ_CP025330.1,19695,Brevibacterium,1696,19053,980158,3,642,Brevibacterium aurantiacum,273384,11222,980161,0,8473
NZ_CP046313.1,12001,Gemella,1378,11843,987854,1,158,Gemella sanguinis,84135,11690,987855,0,311
NZ_CP039712.1,37687,Vagococcus,2737,37380,962169,0,307,Vagococcus zengguangii,2571750,37150,962169,0,537
NZ_CP098491.1,31381,Bacillus,1386,31003,968451,24,378,Bacillus subtilis,1423,1222,968474,1,30159
NZ_CP012196.1,9210,Campylobacter,194,9201,990644,2,9,Campylobacter gracilis,824,9180,990646,0,30
NZ_CP026548.1,5820,Faecalibacterium,216851,5675,994034,2,145,Faecalibacterium prausnitzii,853,5346,994034,2,474
NZ_AP019735.1,8133,Alistipes,239759,7919,991722,1,214,Alistipes communis,2585118,7843,991723,0,290
NZ_CP033719.1,96817,Propionibacterium,1743,96576,903039,0,241,Propionibacterium acidifaciens,556499,96519,903039,0,298
NZ_CP036259.1,4328,Sporomusa,2375,4327,995528,0,1,Sporomusa termitida,2377,4326,995528,0,2
NZ_CP072246.1,5561,Phocaeicola,909656,4864,994294,1,697,Phocaeicola dorei,357276,4178,994295,0,1383
NZ_CP040235.1,11721,Bifidobacterium,1678,11695,988131,4,26,Bifidobacterium longum,216816,9764,988131,4,1957
NZ_CP016839.1,4018,Brochothrix,2755,3999,995838,0,19,Brochothrix thermosphacta,2756,3999,995838,0,19
