accession_id,total_reads,genus,genus_taxid,genus_accuracy,genus_sensitivity,genus_specificity,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_accuracy,species_sensitivity,species_specificity,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP017031.1,4879,Campylobacter,194,0.9996692160420196,0.9613578909353557,0.9999909028699424,15972,1978628,18,642,Campylobacter jejuni,197,0.997733628700019,0.07337569174011067,0.9999994975836285,358,1990380,1,4521
NZ_CP025228.1,11359,Actinomyces,1654,0.9964480819542315,0.9463219620248363,0.999994096929491,124747,1863426,11,7076,Actinomyces qiguomingii,2057800,0.9998030331886572,0.9686592129588872,0.9999813498758254,11003,1983864,37,356
NZ_CP069240.1,4399,Cutibacterium,1912216,0.9997864939907581,0.9901684071878822,0.9999959032008292,42098,1952736,8,418,Cutibacterium avidum,33010,0.9999112897567234,0.9618095021595817,0.9999954793428572,4231,1990852,9,168
NZ_CP098447.1,11103,Proteus,583,0.9994963062458025,0.9098441862559669,0.9999979840304976,10102,1984153,4,1001,Proteus mirabilis,584,0.9992858073634514,0.8716563091056472,1.0,9678,1984157,0,1425
NZ_CP031057.1,11403,Acidipropionibacterium,1912215,0.9998290949550435,0.9705340699815838,0.9999974796570519,11067,1983852,5,336,Acidipropionibacterium acidipropionici,1748,0.9996401471487425,0.9372972024905727,0.9999984877942312,10688,1983854,3,715
NZ_CP028101.1,5097,Fusobacterium,848,0.9954041077353327,0.9123024094536526,0.9999857218704984,95113,1890977,27,9143,Fusobacterium nucleatum,851,0.9979055361206058,0.6955071610751422,0.9986800076174666,3545,1987536,2627,1552
NZ_CP125087.1,6303,Haemophilus,724,0.999041227709672,0.9551545303076526,0.9999989757493289,40702,1952645,2,1911,Haemophilus parainfluenzae,729,0.9994677385403407,0.8415040456925273,0.9999683251070788,5304,1988894,63,999
NZ_CP022680.1,7749,Streptococcus,1301,0.9972018684281748,0.9759799847941015,0.9999157731459917,220794,1768883,149,5434,Streptococcus respiraculi,2021971,0.9997113158184898,0.9267002193831462,0.9999959748650448,7181,1987503,8,568
NZ_CP125315.1,24380,Lacticaseibacillus,2759736,0.9993564748453836,0.9474569319114028,0.9999984778373112,23099,1970877,3,1281,Lacticaseibacillus rhamnosus,47715,0.9989730661668154,0.9159967186218212,0.999999492612437,22332,1970879,1,2048
NZ_CP027569.1,7635,Megasphaera,906,0.9998716959193288,0.9829412940627708,1.0,14751,1980253,0,256,Megasphaera elsdenii,907,0.9998797149243708,0.9685658153241651,1.0,7395,1987625,0,240
NZ_CP066294.2,2889,Streptococcus,1301,0.9972018684281748,0.9759799847941015,0.9999157731459917,220794,1768883,149,5434,Streptococcus mutans,1309,0.999769453605044,0.8449290411907234,0.9999939770253633,2441,1992359,12,448
NZ_CP047311.1,4682,Pseudomonas,286,0.999781983300422,0.9802561743684098,0.9999212570206181,13852,1980973,156,279,Pseudomonas putida,303,0.9979080420596814,0.10871422469030328,0.9999994976333507,509,1990577,1,4173
NZ_CP072224.1,27917,Bacteroides,816,0.9978574220903541,0.9171486239956527,0.9999969131578703,47257,1943728,6,4269,Bacteroides thetaiotaomicron,818,0.9971632769664104,0.7977576387147616,0.9999928838031802,22271,1967329,14,5646
NZ_CP124126.1,3776,Capnocytophaga,1016,0.9992016078105109,0.9775870559268378,1.0,69482,1924185,0,1593,Capnocytophaga canimorsus,28188,0.9997068051281537,0.8466631355932204,0.9999969871713758,3197,1991478,6,579
NZ_CP025330.1,17799,Brevibacterium,1696,0.9996291210168098,0.9590426428451037,0.9999944373112795,17070,1977450,11,729,Brevibacterium aurantiacum,273384,0.9950943736655874,0.4500814652508568,1.0,8011,1977461,0,9788
NZ_CP058603.1,8589,Bifidobacterium,1678,0.9998706935436986,0.9926573835712614,0.9999964305309942,33933,1961069,7,251,Bifidobacterium bifidum,1681,0.9972088850575864,0.35161252765164747,1.0,3020,1986671,0,5569
NZ_CP011861.1,10264,Erysipelothrix,1647,0.9999283301424375,0.9863600935307872,0.9999984886619419,10124,1984993,3,140,Erysipelothrix rhusiopathiae,1648,0.9962636448382667,0.27377240841777084,0.9999994962206473,2810,1984995,1,7454
NZ_CP126076.1,15247,Clostridioides,1870884,0.9993349237693333,0.9144749786843314,0.9999883839146511,13943,1979990,23,1304,Clostridioides difficile,1496,0.9986317572647174,0.8221945300714895,0.9999904041034074,12536,1979994,19,2711
NZ_CP104580.1,3996,Stutzerimonas,2901164,0.999695277808406,0.8478478478478478,1.0,3388,1991264,0,608,Stutzerimonas stutzeri,316,0.9992828002365607,0.6418918918918919,1.0,2565,1991264,0,1431
NZ_CP016753.1,13215,Leptotrichia,32067,0.9954442027605425,0.8725748940112867,0.9999932433345495,62157,1924013,13,9077,Leptotrichia sp. oral taxon 498,712368,0.9974364243256518,0.6155126749905411,0.9999828459999647,8134,1982011,34,5081
NZ_AP017896.1,23400,Actinomyces,1654,0.9964480819542315,0.9463219620248363,0.999994096929491,124747,1863426,11,7076,Actinomyces sp. Chiba101,1851395,0.9986182251937091,0.8832905982905983,0.9999868144797298,20669,1971834,26,2731
NZ_CP021252.1,11132,Corynebacterium,1716,0.9997980213105059,0.9921533530366732,0.9999866475898386,47669,1947188,26,377,Corynebacterium striatum,43770,0.9995153513827771,0.9131333093783687,1.0,10165,1984128,0,967
NZ_CP020566.1,19432,Veillonella,29465,0.9997809809247917,0.9888982038970607,1.0,38926,1955897,0,437,Veillonella atypica,39777,0.9995028216873991,0.9491045697818032,0.9999984816492123,18443,1975825,3,989
NZ_CP007626.1,3158,Bacillus,1386,0.9993389332718543,0.9804491740394728,0.9999715115652685,63388,1930553,55,1264,Bacillus pseudomycoides,64104,0.9998937481831942,0.934768841038632,0.9999969881060307,2952,1992096,6,206
NZ_CP007570.1,5703,Streptococcus,1301,0.9972018684281748,0.9759799847941015,0.9999157731459917,220794,1768883,149,5434,Streptococcus agalactiae,1311,0.9976043222437176,0.1655269156584254,0.9999894448864747,944,1989536,21,4759
NZ_CP014835.1,14577,Streptococcus,1301,0.9972018684281748,0.9759799847941015,0.9999157731459917,220794,1768883,149,5434,Streptococcus halotolerans,1814128,0.9997759690466406,0.9702270700418467,0.9999934366074733,14143,1980670,13,434
