accession_id,total_reads,genus,genus_taxid,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP125806.1,830,Pasteurella,745,829,995644,4,1,Pasteurella multocida,747,798,995645,3,32
NZ_CP070914.1,33081,Escherichia,561,18448,963297,100,14633,Escherichia coli,562,16583,963318,79,16498
NC_076948.1,7872,Rubivirus,11040,7872,988606,0,0,Rubivirus rubellae,2846071,7872,988606,0,0
NZ_CP025420.1,1594,Streptococcus,1301,1571,994757,127,23,Streptococcus parauberis,1348,1556,994881,3,38
NZ_CP125315.1,11351,Lacticaseibacillus,2759736,11335,985125,2,16,Lacticaseibacillus rhamnosus,47715,11263,985127,0,88
NZ_CP066811.1,4524,Peptacetobacter,2743582,4506,991953,1,18,Peptacetobacter hiranonis,89152,4506,991953,1,18
NZ_AP025575.1,1560,Eggerthella,84111,1558,994918,0,2,Eggerthella lenta,84112,1558,994918,0,2
NZ_CP084221.1,448,Lactobacillus,1578,446,996022,8,2,Lactobacillus johnsonii,33959,438,996030,0,10
NZ_CP126077.1,1921,Virgibacillus,84406,1920,994551,6,1,Virgibacillus halodenitrificans,1482,1912,994551,6,9
NZ_CP050134.2,5531,Corynebacterium,1716,5531,990931,16,0,Corynebacterium matruchotii,43768,5531,990947,0,0
NZ_CP017812.1,8707,Boudabousia,2767318,8707,987771,0,0,Boudabousia tangfeifanii,1912795,8707,987771,0,0
NZ_CP104580.1,1786,Stutzerimonas,2901164,1668,994692,0,118,Stutzerimonas stutzeri,316,1625,994692,0,161
NZ_CP033719.1,1217,Propionibacterium,1743,1217,995260,1,0,Propionibacterium acidifaciens,556499,1217,995261,0,0
NZ_CP118095.1,2828,Aerococcus,1375,2805,993648,2,23,Aerococcus christensenii,87541,2804,993649,1,24
NZ_CP040348.1,1741,Collinsella,102106,1728,994735,2,13,Collinsella aerofaciens,74426,1728,994735,2,13
NC_044045.1,973,Norovirus,142786,973,995505,0,0,Norwalk virus,11983,973,995505,0,0
NZ_CP116810.1,3320,Rhodopseudomonas,1073,3320,993158,0,0,Rhodopseudomonas palustris,1076,3320,993158,0,0
NZ_CP126983.1,1521,Porphyromonas,836,1506,994957,0,15,Porphyromonas gingivalis,837,1505,994957,0,16
NZ_CP045696.1,2328,Sodaliphilus,2815786,2311,994150,0,17,Sodaliphilus pleomorphus,2606626,2311,994150,0,17
NC_004718.3,2726,Betacoronavirus,694002,2726,993752,0,0,Severe acute respiratory syndrome-related coronavirus,694009,2726,993752,0,0
NZ_CP017038.2,4540,Tannerella,195950,4540,991938,0,0,Tannerella serpentiformis,712710,4540,991938,0,0
NC_003976.2,4934,Parechovirus,138954,4934,991544,0,0,Parechovirus B,1803957,4934,991544,0,0
NZ_CP034169.1,522,Enterococcus,1350,522,995867,89,0,Enterococcus avium,33945,497,995956,0,25
NZ_CP012098.1,1834,Anaerostipes,207244,1797,994628,16,37,Anaerostipes hadrus,649756,1797,994629,15,37
NZ_CP068103.1,6941,Peptoniphilus,162289,6620,989532,5,321,Peptoniphilus harei,54005,6618,989535,2,323
NZ_CP040915.1,449,Georgenia,154116,449,996029,0,0,Georgenia yuyongxinii,2589797,449,996029,0,0
NZ_CP069520.1,1403,Enterocloster,2719313,1385,995073,2,18,Enterocloster bolteae,208479,1381,995073,2,22
NZ_CP013745.1,3720,Arthrobacter,1663,3720,992758,0,0,Arthrobacter alpinus,656366,3719,992758,0,1
NZ_CP020566.1,3000,Veillonella,29465,2998,993478,0,2,Veillonella atypica,39777,2997,993478,0,3
NZ_CP098491.1,6657,Bacillus,1386,6636,989814,7,21,Bacillus subtilis,1423,1224,989820,1,5433
NZ_CP115634.1,2354,Elizabethkingia,308865,2313,994124,0,41,Elizabethkingia anophelis,1117645,2147,994124,0,207
NZ_CP085178.1,1809,Pediococcus,1253,1809,994664,5,0,Pediococcus pentosaceus,1255,1809,994668,1,0
NC_001526.4,1205,Alphapapillomavirus,333750,1205,995273,0,0,Alphapapillomavirus 9,337041,1205,995273,0,0
NZ_CP023482.1,1602,Dermabacter,36739,1567,994876,0,35,Dermabacter jinjuensis,1667168,1441,994876,0,161
