accession_id,total_reads,genus,genus_taxid,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP063424.1,2843,Actinobacillus,713,8690,987604,11,181,Actinobacillus pleuropneumoniae,715,2598,993642,1,245
NZ_CP031253.1,30159,Neisseria,482,100233,895918,1,334,Neisseria lactamica,486,29356,966270,57,803
NZ_CP012196.1,757,Campylobacter,194,30638,965848,0,0,Campylobacter gracilis,824,757,995729,0,0
NZ_CP050133.1,3824,Streptococcus,1301,181025,814908,87,466,Streptococcus cristatus,45634,3064,992629,33,760
NZ_CP127017.1,18264,Staphylococcus,1279,17966,978191,31,298,Staphylococcus aureus,1280,9604,978200,22,8660
NZ_CP013195.1,2918,Hoylesella,2974257,2826,993567,1,92,Hoylesella enoeca,76123,2826,993568,0,92
NZ_CP014231.1,5717,Leptotrichia,32067,46605,949847,0,34,Leptotrichia sp. oral taxon 847,1785996,5662,990756,13,55
NZ_CP036550.1,11475,Bacteroides,816,66469,927442,65,2510,Bacteroides fragilis,817,11137,984962,49,338
NZ_CP031243.1,6672,Haemophilus,724,44646,951771,34,35,Haemophilus haemolyticus,726,6581,989784,30,91
NZ_CP046027.1,17107,Neisseria,482,100233,895918,1,334,Neisseria brasiliensis,2666100,16893,979371,8,214
NZ_CP040121.1,2246,Duncaniella,2518495,2203,994240,0,43,Duncaniella sp. B8,2576606,62,994240,0,2184
NZ_CP007573.1,5479,Streptococcus,1301,181025,814908,87,466,Streptococcus anginosus,1328,4644,990939,68,835
NZ_AP019829.2,4054,Leptotrichia,32067,46605,949847,0,34,Leptotrichia wadei,157687,4008,992309,123,46
NZ_CP028108.1,575,Fusobacterium,848,37081,959395,6,4,Fusobacterium periodonticum,860,436,995900,11,139
NZ_CP072373.1,2647,Prevotella,838,7891,988386,43,166,Prevotella denticola,28129,2559,993833,6,88
NZ_CP008849.1,2855,Alteromonas,226,2855,993630,1,0,Alteromonas australica,589873,2654,993631,0,201
NZ_AP014880.1,22976,Streptococcus,1301,181025,814908,87,466,Streptococcus intermedius,1338,22537,973458,52,439
NZ_AP019823.1,4376,Leptotrichia,32067,46605,949847,0,34,Leptotrichia hofstadii,157688,4296,992077,33,80
NZ_CP126983.1,10110,Porphyromonas,836,10051,986356,20,59,Porphyromonas gingivalis,837,10038,986358,18,72
NZ_CP072258.1,9649,Bacteroides,816,66469,927442,65,2510,Bacteroides caccae,47678,8407,986813,24,1242
NZ_CP050820.1,5019,Clostridium,1485,19151,977303,8,24,Clostridium botulinum,1491,4995,991447,20,24
NZ_CP045696.1,194,Sodaliphilus,2815786,194,996292,0,0,Sodaliphilus pleomorphus,2606626,194,996292,0,0
NZ_CP083637.1,10922,Gemella,1378,24905,971032,2,547,Gemella haemolysans,1379,10911,985564,0,11
NZ_CP050497.1,1199,Treponema,157,3980,992506,0,0,Treponema vincentii,69710,1001,995287,0,198
NZ_CP028101.1,1651,Fusobacterium,848,37081,959395,6,4,Fusobacterium nucleatum,851,1545,994759,76,106
NZ_CP073118.1,5109,Neisseria,482,100233,895918,1,334,Neisseria subflava,28449,3791,991290,87,1318
NZ_CP050136.1,3338,Kingella,32257,3334,993145,3,4,Kingella kingae,504,3297,993148,0,41
NZ_CP026548.1,5104,Faecalibacterium,216851,5044,991382,0,60,Faecalibacterium prausnitzii,853,4955,991382,0,149
NZ_CP019668.1,686,Burkholderia,32008,685,995800,0,1,Burkholderia cenocepacia,95486,537,995800,0,149
NZ_CP125806.1,11585,Pasteurella,745,11575,984887,14,10,Pasteurella multocida,747,11241,984889,12,344
NZ_CP032621.1,1947,Streptococcus,1301,181025,814908,87,466,Streptococcus gwangjuense,1433513,1835,994538,1,112
NZ_CP072251.1,10314,Bacteroides,816,66469,927442,65,2510,Bacteroides cellulosilyticus,246787,9735,986168,4,579
NZ_CP015577.1,1430,Campylobacter,194,30638,965848,0,0,Campylobacter iguaniorum,1244531,1428,995055,1,2
NZ_CP032620.1,8821,Streptococcus,1301,181025,814908,87,466,Streptococcus koreensis,2382163,6703,987665,0,2118
NZ_CP012410.1,4160,Leptotrichia,32067,46605,949847,0,34,Leptotrichia sp. oral taxon 212,712357,4147,992320,6,13
NZ_CP022386.1,33858,Capnocytophaga,1016,138747,857700,2,37,Capnocytophaga gingivalis,1017,33795,962625,3,63
NZ_CP027234.1,4581,Bacteroides,816,66469,927442,65,2510,Bacteroides heparinolyticus,28113,4395,991897,8,186
NZ_CP116438.1,2710,Clostridium,1485,19151,977303,8,24,Clostridium perfringens,1502,2327,993765,11,383
NZ_CP040798.1,32124,Streptococcus,1301,181025,814908,87,466,Streptococcus sanguinis,1305,31956,964047,315,168
NZ_CP085096.1,16444,Aggregatibacter,416916,21410,975055,5,16,Aggregatibacter actinomycetemcomitans,714,16409,980041,1,35
NZ_CP034842.1,27215,Fusobacterium,848,37081,959395,6,4,Fusobacterium necrophorum,859,27215,969266,5,0
NZ_CP040004.1,5913,Candidatus Nanosynbacter,2093823,5912,990573,0,1,Candidatus Nanosynbacter featherlites,2572088,5900,990573,0,13
NZ_CP050134.2,1372,Corynebacterium,1716,1372,995114,0,0,Corynebacterium matruchotii,43768,1372,995114,0,0
NZ_CP027235.1,5112,Haemophilus,724,44646,951771,34,35,Haemophilus sp. oral taxon 036,712310,5010,991366,8,102
NZ_CP022384.1,3383,Capnocytophaga,1016,138747,857700,2,37,Capnocytophaga leadbetteri,327575,3298,993100,3,85
NZ_CP027232.1,2598,Capnocytophaga,1016,138747,857700,2,37,Capnocytophaga sp. oral taxon 864,1316593,2379,993880,8,219
NZ_AP018768.1,12626,Haemophilus,724,44646,951771,34,35,Haemophilus influenzae,727,12361,983802,58,265
NZ_CP007570.1,16854,Streptococcus,1301,181025,814908,87,466,Streptococcus agalactiae,1311,9957,979594,38,6897
NZ_CP127164.1,627,Bacillus,1386,8680,987768,5,33,Bacillus velezensis,492670,122,995857,2,505
NZ_CP097843.1,1432,Streptococcus,1301,181025,814908,87,466,Streptococcus oralis,1303,1395,994918,136,37
NZ_CP033459.1,4634,Pseudoprevotella,2884814,4633,991851,1,1,Pseudoprevotella muciniphila,2133944,4633,991851,1,1
NZ_CP020566.1,3510,Veillonella,29465,12836,983647,0,3,Veillonella atypica,39777,3503,992976,0,7
NZ_CP072246.1,4516,Phocaeicola,909656,6959,988900,36,591,Phocaeicola dorei,357276,3874,991951,19,642
NZ_CP006943.1,21084,Mannheimia,75984,21722,974644,41,79,Mannheimia varigena,85404,20975,975391,11,109
NZ_CP075172.1,9158,Streptococcus,1301,181025,814908,87,466,Streptococcus equinus,1335,8987,987306,22,171
NZ_AP019822.1,2315,Pseudoleptotrichia,2755140,2315,994171,0,0,Pseudoleptotrichia goodfellowii,157692,2315,994171,0,0
NZ_CP034670.1,263,Eikenella,538,263,996215,8,0,Eikenella corrodens,539,263,996215,8,0
NZ_CP048246.1,18703,Neisseria,482,100233,895918,1,334,Neisseria gonorrhoeae,485,18425,977688,95,278
NZ_CP121210.1,4497,Riemerella,34084,4480,991988,1,17,Riemerella anatipestifer,34085,4480,991988,1,17
NZ_AP019827.1,8043,Leptotrichia,32067,46605,949847,0,34,Leptotrichia shahii,157691,7865,988432,11,178
NZ_CP101412.1,3974,Parvimonas,543311,3900,992497,15,74,Parvimonas micra,33033,3900,992497,15,74
NZ_AP019831.1,7367,Leptotrichia,32067,46605,949847,0,34,Leptotrichia trevisanii,109328,7330,989044,75,37
