accession_id,total_reads,genus,genus_taxid,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP079822.1,213799,Rothia,32207,214245,1717880,117,92,Rothia mucilaginosa,43675,213608,1718080,455,191
NZ_CP072390.1,44,Prevotella,838,31045,1899257,935,1097,Prevotella scopos,589437,43,1932284,6,1
NZ_CP102197.1,82042,Schaalia,2529408,81859,1849008,1284,183,Schaalia odontolytica,1660,81846,1849129,1163,196
NZ_CP012646.1,191526,Streptococcus,1301,236648,1694875,180,631,Streptococcus mitis,28037,171303,1740611,197,20223
NZ_CP102583.1,27312,Streptococcus,1301,236648,1694875,180,631,Streptococcus pneumoniae,1313,25598,1903265,1757,1714
NC_015875.1,17195,Streptococcus,1301,236648,1694875,180,631,Streptococcus pseudopneumoniae,257758,14530,1914944,195,2665
NZ_CP079193.1,66,Streptococcus,1301,236648,1694875,180,631,Streptococcus suis,1307,60,1932194,74,6
NZ_CAKAHJ010000001.1,2640,Actinomyces,1654,79,1929631,11,2613,uncultured Actinomyces sp.,249061,0,1929694,0,2640
NZ_CP009227.1,50,Treponema,157,343,1931929,1,61,Treponema sp. OMZ 838,1539298,28,1932284,0,22
NZ_CALGPY010000005.1,3150,Campylobacter,194,142034,1789941,1,358,uncultured Campylobacter sp.,218934,0,1929184,0,3150
NZ_CAKOJV010000001.1,304,Fusobacterium,848,178464,1753494,4,372,uncultured Fusobacterium sp.,159267,0,1932030,0,304
NZ_UQJH01000001.1,120,Porphyromonas,836,865,1931308,31,130,uncultured Porphyromonas sp.,159274,0,1932214,0,120
NZ_CABPWA010000001.1,76,Peptostreptococcus,1257,2,1932258,0,74,uncultured Peptostreptococcus sp.,169971,0,1932258,0,76
NZ_CAJTJS010000001.1,446,Prevotella,838,31045,1899257,935,1097,uncultured Prevotella sp.,159272,0,1931888,0,446
NZ_CAKAIK010000001.1,454,Rothia,32207,214245,1717880,117,92,uncultured Rothia sp.,316088,0,1931880,0,454
NZ_CAMNMG010000001.1,1180,Streptococcus,1301,236648,1694875,180,631,uncultured Streptococcus sp.,83427,0,1931154,0,1180
NZ_CALHUL010000006.1,354,Treponema,157,343,1931929,1,61,uncultured Treponema sp.,162155,0,1931980,0,354
NZ_CP020566.1,2308,Veillonella,29465,5648,1925855,823,8,Veillonella atypica,39777,2293,1930022,4,15
NZ_LR134375.1,2194,Veillonella,29465,5648,1925855,823,8,Veillonella dispar,39778,2030,1930138,2,164
NZ_AP022321.1,1110,Veillonella,29465,5648,1925855,823,8,Veillonella nakazawae,2682456,950,1930942,282,160
NZ_CP019721.1,44,Veillonella,29465,5648,1925855,823,8,Veillonella parvula,29466,44,1932005,285,0
