"","species","read_length","species_sensitivity","species_specificity","species_accuracy","species_precision","genus_sensitivity","genus_specificity","genus_accuracy","genus_precision"
"1153","Streptococcus australis","75",61.1235886771528,99.9972624101629,99.9009188127434,66.247464300364,95.6545213317412,99.9842205318164,99.6010030764544,99.4319102717603
"1154","Streptococcus australis","150",77.739601145476,99.9974160847808,99.9470006288453,71.7413211288861,98.0221799550238,99.9787260685555,99.8111341982537,99.2842015769751
"1155","Streptococcus australis","300",88.0096769715826,99.9959721919628,99.9677120335972,66.3628550611956,98.8894888396653,99.9738213396793,99.8823758227275,99.1576696930448
"1156","Streptococcus constellatus","75",24.8525941223165,99.9987810494189,99.5990262197669,99.0005970509815,92.6701644581045,99.9728483069281,99.298793398967,99.6324215321425
"1157","Streptococcus constellatus","150",39.3645317912462,99.9972989086554,99.6571370358919,98.6037296565241,96.1636410615186,99.9616999652369,99.6110586978574,99.4993668992068
"1158","Streptococcus constellatus","300",54.4718222022651,99.9961788227889,99.7527861332234,98.5730834514101,97.8284765282824,99.9509027308584,99.7560337046958,99.3879220665068
"1159","Streptococcus cristatus","75",90.2824573250185,99.9967571745603,99.8975387958322,99.4608579944744,97.7811390746085,99.9929641028388,99.588810118639,99.9641351876736
"1160","Streptococcus cristatus","150",97.1111655392295,99.9973979266315,99.9765578115116,99.1973773236891,99.0862461370932,99.9869060210079,99.8640240497682,99.9275421676089
"1161","Streptococcus cristatus","300",98.556572133882,99.9941716436035,99.9790372655154,99.3164077665813,99.4904661968488,99.9872877740613,99.8930085737887,99.9332217484964
"1162","Streptococcus dysgalactiae","75",19.1213080148655,99.9983872830235,97.7941262211934,86.5194262347468,94.4961134720224,99.9810053345366,99.4244890296762,99.7573326651046
"1163","Streptococcus dysgalactiae","150",33.3283596053071,99.9970030107128,98.1268100377598,87.4031314173418,97.2069042369812,99.9726204574902,99.6932425624499,99.6687690898831
"1164","Streptococcus dysgalactiae","300",49.586812138922,99.9948562496442,98.5920926346079,84.7271529587883,98.3554554115147,99.9655669357665,99.7997073877718,99.5995868359104
"1165","Streptococcus equinus","75",81.8402658983143,99.9993252505287,99.6521262561703,99.9282989418548,97.7811390746085,99.9929641028388,99.588810118639,99.9641351876736
"1166","Streptococcus equinus","150",91.3154648137127,99.9991657426069,99.8669841271009,99.4751906136754,99.0862461370932,99.9869060210079,99.8640240497682,99.9275421676089
"1167","Streptococcus equinus","300",95.7803121249383,99.9984515042797,99.9178286478987,99.846075215013,99.4904661968488,99.9872877740613,99.8930085737887,99.9332217484964
"1168","Streptococcus gallolyticus","75",56.7887480852249,99.9994467020677,99.8439301143711,99.7309855710443,97.5979984794102,99.9915773145992,99.7201868428175,99.9325617919554
"1169","Streptococcus gallolyticus","150",77.1617707902358,100,99.9446855544121,100,98.472990841863,99.9915163043236,99.8361610171445,99.9244622907804
"1170","Streptococcus gallolyticus","300",88.3395255787368,99.9997921527262,99.9575456849848,99.9353378596832,99.4551577487155,99.9824801353935,99.9226503089846,99.8625442149442
"1171","Streptococcus gordonii","75",89.1458332621927,99.9957424052785,99.9259220011566,98.8435061263802,97.7811390746085,99.9929641028388,99.588810118639,99.9641351876736
