,,,,DOADOR SAUDAVEL,DOADOR SAUDAVEL,DOADOR SAUDAVEL,DOADOR SAUDAVEL,DOADOR SAUDAVEL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO BACTERIANA,INFECCAO BACTERIANA,INFECCAO VIRAL,INFECCAO BACTERIANA,INFECCAO BACTERIANA,INFECCAO BACTERIANA,INFECCAO BACTERIANA,INFECCAO BACTERIANA,INFECCAO BACTERIANA,INFECCAO BACTERIANA,INFECCAO BACTERIANA
taxon_name,tax_id,genus_name,pathogenic,CSI001,CSI002,CSI003,CSI004,CSI005,SI001,SI002,SI003,SI004,SI005,SI006,SI007,SI008,SI010,SI018,SI019,SI021,SI023,SI029,SI030,SI032,SI034,SI035,SI037,SI041
Moraxella osloensis,34062,Moraxella,Yes,0.00420110436644166,,,,,,,,,,5.6598914109735,,,,,,,,,0.00389339865015118,0.0224492451943708,0.00219766385671925,,0.0725941877898857,
Neisseria flavescens,484,Neisseria,Yes,,,,0.482929386094773,,,,,,0.201751415241696,,,,,,,0.166131934975243,18.7543803873097,,,,,,0.551716255415522,
Neisseria gonorrhoeae,485,Neisseria,Yes,,0.0719750643505143,0.379299767653108,,,,,,64.7685380314704,,,,,,,,,,,,,,,,
Neisseria meningitidis,487,Neisseria,Yes,,0.217896854566747,1.36238628540508,0.584164939053282,,,,,0.147082564633687,0.138646937115024,,,,,,,,,0.0953408431469122,,,,,,
Neisseria mucosa,488,Neisseria,Yes,1.13709922574548,1.25315559416689,8.50544505856843,1.3774228379801,,2.97801990084004,16.2186576914438,,,,1.29338371578026,1.65987135558277,,,,,,0.34106517213256,22.211753368022,,,0.699797765210228,1.37753709368464,,
Neisseria subflava,28449,Neisseria,No,,19.4887974896947,13.8223547023122,59.2831659852828,0.80162240685838,0.329644530677086,0.0276111304177234,0.0142859033574912,0.00189783395060652,29.7577783118557,0.0079729249565344,4.4803899045115,0.00408132301892236,,1.15327644442793,,6.43338475919816,1.27111582716368,0.11607879672407,,,0.029511475643133,0.0313077312672945,14.5856551606178,6.47764674305104
Oribacterium sp. oral taxon 108,712414,Oribacterium,No,,,,,,,,,,,,,,,,3.05961995532686,,,,,,,,,
Pangolin coronavirus,2708335,Betacoronavirus,No,,,,,,,,,,,,,,0.000526157333305266,,,,,,,,,,,
Porphyromonas gingivalis,837,Porphyromonas,Yes,,0.0446968042231989,0.179231625118127,0.0178411969467032,0.0119348552382234,0.0533043169476985,0.0603678556221317,0.0271432734611982,0.0370079180830326,0.0166449535056848,3.05341033866971,0.0172059860044524,0.0433909134194475,0.00192921818594079,0.0162294602265719,0.00561019789068105,0.00227133440496172,0.00350169250188611,0.00646378311649028,,0.0673476130081032,0.0616914557374883,1.22762181936169,0.0174226445968702,
Prevotella dentalis,52227,Prevotella,No,,0.00624440466000796,0.00380867919599264,0.00310870349293706,1.76038819122172,0.0336657957406323,0.0158136559150336,0.0157144936932403,0.00948918709149988,,0.00553676081813061,,,,,0.00236219467429253,0.00259581663221161,0.00210101958276272,0.00430918874432685,0.178317077571751,0.252553548780387,0.0279417027044624,0.0568957452983372,0.0464603032431171,
