accession_id,total_reads,genus,genus_taxid,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP033459.1,7467,Pseudoprevotella,2884814,7449,992533,0,18,Pseudoprevotella muciniphila,2133944,7449,992533,0,18
NZ_CP013476.1,9619,Turicibacter,191303,9509,990381,0,110,Turicibacter sp. H121,1712675,2652,990381,0,6967
NC_001348.1,843,Varicellovirus,10319,841,999157,0,2,Human alphaherpesvirus 3,10335,841,999998,-841,2
NZ_CP124126.1,2893,Capnocytophaga,1016,2888,997107,0,5,Capnocytophaga canimorsus,28188,2817,997107,0,76
NZ_CP072385.1,11312,Arachnia,2801844,11284,988688,0,28,Arachnia propionica,1750,11254,988688,0,58
NZ_CP019668.1,1912,Burkholderia,32008,1898,998087,1,14,Burkholderia cenocepacia,95486,826,998088,0,1086
NZ_AP019697.1,3929,Dialister,39948,3925,996071,0,4,Dialister hominis,2582419,1310,996071,0,2619
NZ_CP034593.1,3816,Flaviflexus,1522056,3809,996184,0,7,Flaviflexus ciconiae,2496867,3801,996184,0,15
NZ_CP023474.1,1241,Brevibacillus,55080,1151,998758,1,90,Brevibacillus brevis,1393,854,998759,0,387
NZ_CP054018.1,277318,Rothia,32207,275693,722682,0,1625,Rothia dentocariosa,2047,271756,722682,0,5562
NZ_CP121210.1,8798,Riemerella,34084,8704,991202,0,94,Riemerella anatipestifer,34085,8700,991202,0,98
NZ_CP026548.1,14252,Faecalibacterium,216851,13842,985746,2,410,Faecalibacterium prausnitzii,853,12960,985747,1,1292
NZ_CP029462.1,2118,Megasphaera,906,2099,997882,0,19,Megasphaera stantonii,2144175,2089,997882,0,29
NZ_CP089305.1,23609,Limosilactobacillus,2742598,22560,976389,2,1049,Limosilactobacillus fermentum,1613,22443,976391,0,1166
NZ_CP008852.1,2260,Pelosinus,365348,2255,997740,0,5,Pelosinus sp. UFO1,484770,2249,997740,0,11
NZ_AP019822.1,10127,Pseudoleptotrichia,2755140,9949,989873,0,178,Pseudoleptotrichia goodfellowii,157692,9949,989873,0,178
NZ_CP034465.1,1884,Jeotgalibaca,1470540,1847,998116,0,37,Jeotgalibaca ciconiae,2496265,1822,998116,0,62
