accession_id,total_reads,genus,genus_taxid,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP027232.1,4017,Capnocytophaga,1016,11319,988680,0,1,Capnocytophaga sp. oral taxon 864,1316593,3117,995958,25,900
NZ_CP032364.1,1648,Lachnoanaerobaculum,1164882,1647,998347,5,1,Lachnoanaerobaculum umeaense,617123,1642,998352,0,6
NZ_CP050136.1,3498,Kingella,32257,3490,996488,14,8,Kingella kingae,504,3417,996502,0,81
NZ_CP031253.1,8460,Neisseria,482,221918,777164,4,914,Neisseria lactamica,486,7811,991411,129,649
NZ_CP013334.1,16267,Fusobacterium,848,64363,935561,1,75,Fusobacterium hwasookii,1583098,13271,983652,81,2996
NZ_CP017295.1,6547,Streptococcus,1301,200937,798147,38,878,Streptococcus gordonii,1302,6448,992989,464,99
NZ_CP050497.1,5239,Treponema,157,10029,989968,1,2,Treponema vincentii,69710,3744,994760,1,1495
NZ_CP110170.1,15962,Klebsiella,570,17192,982125,32,651,Klebsiella pneumoniae,573,5962,983978,60,10000
NZ_CP082857.1,10925,Haemophilus,724,47607,952191,64,138,Haemophilus aegyptius,197575,2065,989074,1,8860
NZ_CP019668.1,10638,Burkholderia,32008,10626,989362,0,12,Burkholderia cenocepacia,95486,6736,989362,0,3902
NZ_CP065726.1,6718,Neisseria,482,221918,777164,4,914,Neisseria cinerea,483,6501,993240,42,217
NZ_CP012544.1,17454,Campylobacter,194,20195,979802,3,0,Campylobacter showae,204,17391,982546,0,63
NZ_CP039886.1,11987,Neisseria,482,221918,777164,4,914,Neisseria flavescens,484,11264,987800,213,723
NZ_CP014239.1,13333,Selenomonas,970,13333,986667,0,0,Selenomonas sp. oral taxon 136,713030,12667,986667,0,666
