accession_id,total_reads,genus,genus_taxid,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP040235.1,6884,Bifidobacterium,1678,6850,993111,5,34,Bifidobacterium longum,216816,6503,993115,1,381
NZ_CP029066.1,47120,Enterococcus,1350,46926,952836,44,194,Enterococcus mundtii,53346,46618,952880,0,502
NZ_CP126312.1,4687,Latilactobacillus,2767885,4622,995311,2,65,Latilactobacillus curvatus,28038,4572,995312,1,115
NZ_CP039381.1,11243,Ruminococcus,1263,11200,988755,2,43,Ruminococcus bovis,2564099,11200,988757,0,43
NZ_CP039712.1,8624,Vagococcus,2737,8603,991374,2,21,Vagococcus zengguangii,2571750,8573,991376,0,51
NZ_CP014239.1,3847,Selenomonas,970,13294,986668,0,38,Selenomonas sp. oral taxon 136,713030,3778,996153,0,69
NZ_CP013745.1,10089,Arthrobacter,1663,10053,989911,0,36,Arthrobacter alpinus,656366,10050,989911,0,39
NZ_CP053315.1,4701,Niallia,2837506,4662,995299,0,39,Niallia circulans,1397,4620,995299,0,81
NZ_CP054494.1,2632,Flavobacterium,237,2622,997366,2,10,Flavobacterium columnare,996,2577,997368,0,55
NZ_CP008852.1,3089,Pelosinus,365348,3079,996911,0,10,Pelosinus sp. UFO1,484770,3079,996911,0,10
NZ_CP027235.1,1258,Haemophilus,724,1254,998738,4,4,Haemophilus sp. oral taxon 036,712310,1235,998742,0,23
NZ_CP068103.1,5311,Peptoniphilus,162289,5066,994689,0,245,Peptoniphilus harei,54005,5062,994689,0,249
NZ_CP045696.1,3010,Sodaliphilus,2815786,2984,996990,0,26,Sodaliphilus pleomorphus,2606626,2984,996990,0,26
NZ_CP072373.1,9249,Prevotella,838,9106,990703,48,143,Prevotella denticola,28129,8940,990745,6,309
NZ_AP019846.1,1685,Leptotrichia,32067,1681,998315,0,4,Leptotrichia hongkongensis,554406,1649,998315,0,36
