accession,tax_id,superkingdom,phylum,class,order,family,genus,species,superkingdom_taxid,phylum_taxid,class_taxid,order_taxid,family_taxid,genus_taxid,species_taxid
NZ_AP019735.1,2585118,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes communis,2,976,200643,171549,171550,239759,2585118
NZ_CP068102.1,172042,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Rothia,Rothia aeria,2,201174,1760,85006,1268,32207,172042
NZ_CP017812.1,1912795,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Boudabousia,Boudabousia tangfeifanii,2,201174,1760,2037,2049,2767318,1912795
NZ_CP126077.1,1482,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Virgibacillus,Virgibacillus halodenitrificans,2,1239,91061,1385,186817,84406,1482
NZ_CP016839.1,2756,Bacteria,Bacillota,Bacilli,Bacillales,Listeriaceae,Brochothrix,Brochothrix thermosphacta,2,1239,91061,1385,186820,2755,2756
NZ_CP050134.2,43768,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium matruchotii,2,201174,1760,85007,1653,1716,43768
NZ_CP040235.1,216816,Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,2,201174,1760,85004,31953,1678,216816
NZ_CP029066.1,53346,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus mundtii,2,1239,91061,186826,81852,1350,53346
NZ_CP126312.1,28038,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Latilactobacillus,Latilactobacillus curvatus,2,1239,91061,186826,33958,2767885,28038
NZ_CP039381.1,2564099,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Ruminococcus bovis,2,1239,186801,186802,216572,1263,2564099
NZ_CP039712.1,2571750,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Vagococcus,Vagococcus zengguangii,2,1239,91061,186826,81852,2737,2571750
NZ_CP014239.1,713030,Bacteria,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas sp. oral taxon 136,2,1239,909932,909929,1843491,970,713030
NZ_CP013745.1,656366,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter alpinus,2,201174,1760,85006,1268,1663,656366
NZ_CP053315.1,1397,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Niallia,Niallia circulans,2,1239,91061,1385,186817,2837506,1397
NZ_CP054494.1,996,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium columnare,2,976,117743,200644,49546,237,996
NZ_CP008852.1,484770,Bacteria,Bacillota,Negativicutes,Selenomonadales,Sporomusaceae,Pelosinus,Pelosinus sp. UFO1,2,1239,909932,909929,1843490,365348,484770
NZ_CP027235.1,712310,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus sp. oral taxon 036,2,1224,1236,135625,712,724,712310
NZ_CP068103.1,54005,Bacteria,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus harei,2,1239,1737404,1737405,1570339,162289,54005
