accession,tax_id
NZ_CP089305.1,1613
NZ_CP017812.1,1912795
NZ_CP050497.1,69710
NZ_CP014231.1,1785996
NZ_CP068103.1,54005
NZ_CP072244.1,28116
NZ_AP017896.1,1851395
NZ_CP034593.1,2496867
NZ_CP123971.1,1624
NZ_CP066065.1,52773
NZ_AP025569.1,29347
NZ_AP019829.2,157687
NZ_CP072258.1,997873
NZ_CP053315.1,1397
NZ_CP017295.1,1302
NZ_CP012196.1,824
NZ_CP118095.1,87541
NZ_CP014239.1,713030
NZ_CP017267.1,519472
NZ_CP054000.1,1260
NZ_CP049272.1,199
NZ_CP012069.2,712411
NZ_CP013334.1,1307444
NZ_CP034842.1,143388
NZ_CP097775.1,1406
NZ_CP046314.1,29391
NZ_CP016843.1,2748
NZ_CP029066.1,53346
NZ_CP124202.1,1421
NZ_CP116438.1,451751
NZ_CP028108.1,860
NZ_CP012098.1,649756
NZ_CP035298.1,1270
NZ_CP016089.1,169679
NZ_AP019831.1,109328
NZ_CP027862.1,2079536
NZ_CP015905.2,1360
NZ_CP014228.1,111015
NZ_CP006905.1,1415775
NZ_CP030280.1,1912897
NZ_CP083175.1,2702
NZ_CP025249.1,2057798
NZ_CP022386.1,1017
NZ_CP040518.1,2479767
NZ_CP125315.1,47715
NZ_CP126983.1,837
NZ_CP026548.1,853
NZ_CP054015.1,315405
NZ_CP038504.1,1717
NZ_CP017761.1,1911586
NZ_CP070914.1,562
NZ_CP127126.1,652611
NZ_CP050820.1,1491
NZ_CP017042.1,1884263
NZ_CP120618.1,1404
NZ_CP031057.1,1748
NZ_CP040004.1,2572088
NZ_AP014647.1,184246
NZ_AP014938.1,43675
NZ_CP009268.1,1262449
NZ_CP031243.1,726
NZ_CP126076.1,1496
NZ_CP083637.1,1379
NZ_CP073653.1,1520
NZ_CP039381.1,2564099
NZ_CP012117.1,1630135
NZ_CP014162.1,51665
NZ_CP017038.2,712710
NZ_CP015196.1,1825069
NZ_CP027232.1,1316593
NZ_CP072236.1,820
NZ_CP046313.1,84135
NZ_CP035439.1,1314
NZ_CP123403.1,1661
NZ_CP046316.1,2545799
NZ_CP020566.1,39777
NZ_CP072373.1,28129
NZ_CP008849.1,589873
NZ_AP025697.1,1655
NZ_CP072385.1,1750
NZ_CP017031.1,32022
NZ_CP075566.1,3093767
NZ_CP072224.1,818
NZ_CP047591.1,2697030
NZ_CP071986.1,210
NZ_AP018768.1,727
NZ_CP049226.1,147802
NZ_CP116810.1,258594
NZ_CP008724.1,1288
NZ_CP047311.1,303
NZ_CP072891.1,1354
NZ_CP027236.1,2081702
NZ_CP039292.1,2560010
NZ_CP073804.1,1855823
NZ_CP121210.1,34085
NZ_CP023074.1,417368
NZ_CP027228.1,114527
NZ_CP125107.1,1346
NZ_CP102567.2,1282
NZ_CP017037.1,39950
NZ_CP065995.1,1245
NZ_CP022379.1,1019
NZ_CP068112.1,2051
NZ_CP072246.1,357276
NZ_CP046315.1,1660
NZ_CP016087.1,36745
NZ_CP027231.1,28119
NC_012756.1,644007
NZ_CP069240.1,33010
NZ_CP125087.1,729
NZ_CP127017.1,1280
NZ_AP019827.1,157691
NZ_CP084221.1,33959
NZ_CP066560.1,731
NZ_CP121769.1,738
NZ_CP012067.1,732
NZ_CP107038.1,1313
NZ_CP069520.1,208479
NZ_CP053228.1,1796616
NZ_CP033719.1,556499
NZ_CP019721.1,29466
NZ_CP007573.1,1328
NZ_CP014160.1,119206
NZ_CP054018.1,2047
NZ_CP084018.1,437897
NZ_CP090007.1,1304
NZ_CP032364.1,617123
NZ_CP072042.1,239935
NZ_CP126312.1,28038
NZ_CP036550.1,817
NZ_CP020468.1,1960083
NZ_AP014880.1,1338
NZ_CP033459.1,2133944
NZ_CP034157.1,237258
NZ_CP027234.1,28113
NZ_CP022384.1,327575
NZ_CP040121.1,2576606
NZ_CP019433.1,1903686
NZ_CP125806.1,747
NZ_CP096671.1,33038
NZ_CP025330.1,273384
NZ_CP010997.1,1408
NZ_CP085178.1,1255
NZ_CP022680.1,2021971
NZ_CP014150.1,1505
NZ_CP028101.1,190304
NZ_CP012544.1,204
NZ_CP025420.1,1348
NZ_AP019697.1,2582419
NZ_CP015401.2,1796613
NZ_CP126474.1,1428
NZ_CP098025.1,1351
NZ_CP035997.1,1405
NZ_CP012410.1,712357
NZ_CP022022.1,2708117
NZ_AP019735.1,2585118
NZ_CP029033.1,2495645
NZ_CP117966.1,301301
NZ_CP046246.1,51669
NZ_CP053790.1,1329
NZ_CP022435.1,1349
NZ_AP019822.1,157692
NZ_CP050133.1,889201
NZ_CP032819.1,2093856
NZ_CP120398.1,90370
NZ_CP050134.2,43768
NZ_CP008852.1,484770
NZ_CP024700.1,2663009
NZ_CP097843.1,1303
NZ_CP075489.1,214326
NZ_CP029462.1,2144175
NZ_CP009227.1,1539298
NZ_CP014233.1,1785995
NZ_CP066194.1,580165
NZ_AP025240.1,821
NZ_CP077403.1,43674
NZ_CP053940.1,1685
NZ_CP058603.1,1681
NZ_CP040058.1,1229621
NZ_CP072251.1,246787
NZ_CP027235.1,712310
NZ_CP121201.1,82348
NZ_CP033808.1,2420310
NZ_CP021874.1,2005703
NZ_CP075172.1,1335
NZ_CP040235.1,216816
NZ_CP120209.1,253
NZ_CP026734.1,1703
NZ_CP073277.1,1492
NZ_CP125360.1,119602
NZ_AP021887.1,2598453
NZ_CP066811.1,89152
NZ_AP025575.1,84112
NZ_CP013195.1,76123
NZ_CP050870.1,1308
NZ_AP019823.1,157688
NZ_CP040798.1,1305
NZ_CP028105.1,861
NZ_CP023482.1,1667168
NZ_CP010796.1,1564681
NZ_CP015348.1,1571
NZ_CP029458.1,1542
NZ_CP034465.1,2496265
NZ_CP014161.1,1376
